map_id,world_size_x,world_size_y,world_area,bbox_width,bbox_height,useful_area,useful_area_ratio,n_nodes,n_edges,total_road_length_m,road_density,avg_edge_length_m,median_edge_length_m,avg_degree,max_degree,dead_end_ratio,intersection_ratio,n_components,largest_component_ratio,bridge_edges_count,bridge_edges_ratio,articulation_points_count,articulation_points_ratio,graph_diameter_approx,avg_shortest_path_approx,circuity_approx,orientation_entropy,gridness_score,corridor_score,radial_score,partition_score,community_score,tree_like_score
v2_osm_cambridge_haggle_offset_e_1500m_500m_0017,-0.19013389637546818,-0.027856968315297385,-0.2767587872614977,-0.1901382526779464,-0.02809210309406629,-0.2787945281577241,0.5729594225767963,0.057397311931996896,0.03842275307407356,0.01316669349305262,0.04586462734753605,-0.4350115122886114,-0.4073274517679679,-0.36692285677038805,-0.25585263109063144,0.03911768435792598,-0.5443034800934786,-0.2584113635525427,0.26360440502829996,0.2893849522193142,0.061449839581478136,0.28403951283323364,0.3645876574839493,-0.022438384273667594,-0.14161127960051811,-0.2748132359158216,0.8709720981448597,-0.6065957044951572,-0.15120252434225637,0.5884015925406891,-0.3002837810276204,0.7295689973377452,0.4710076568494124
v2_osm_cambridge_haggle_offset_e_1500m_500m_0357,-0.19013389637546818,-0.027856968315297385,-0.2767587872614977,-0.1901382526779464,-0.02809210309406629,-0.2787945281577241,0.5729594225767963,0.057397311931996896,0.03842275307407356,0.01316669349305262,0.04586462734753605,-0.4350115122886114,-0.4073274517679679,-0.36692285677038805,-0.25585263109063144,0.03911768435792598,-0.5443034800934786,-0.2584113635525427,0.26360440502829996,0.2893849522193142,0.061449839581478136,0.28403951283323364,0.3645876574839493,-0.022438384273667594,-0.10022388363042237,-0.2792171966127909,0.8709720981448597,-0.6065957044951572,-0.15120252434225637,0.5884015925406891,-0.3002837810276204,0.7295689973377452,0.4710076568494124
v2_osm_cambridge_haggle_offset_e_1500m_500m_0697,-0.19013389637546818,-0.027856968315297385,-0.2767587872614977,-0.1901382526779464,-0.02809210309406629,-0.2787945281577241,0.5729594225767963,0.057397311931996896,0.03842275307407356,0.01316669349305262,0.04586462734753605,-0.4350115122886114,-0.4073274517679679,-0.36692285677038805,-0.25585263109063144,0.03911768435792598,-0.5443034800934786,-0.2584113635525427,0.26360440502829996,0.2893849522193142,0.061449839581478136,0.28403951283323364,0.3645876574839493,-0.022438384273667594,-0.102374712042287,-0.08040982800674067,0.8709720981448597,-0.6065957044951572,-0.15120252434225637,0.5884015925406891,-0.3002837810276204,0.7295689973377452,0.4710076568494124
v2_osm_cambridge_haggle_offset_n_1000m_1000m_0306,-0.4686144837493754,-0.3271691606012367,-0.38483011400057415,-0.4685928905190605,-0.32738001379097287,-0.38406813961959063,0.38226791472178256,-0.19607040259849914,-0.2042469364749401,-0.2276212031199806,-0.05106061364539342,-0.42357857016686584,-0.39966969062394936,-0.3661063855571953,-0.25585263109063144,-0.010346944236245399,-0.6012592558641076,-0.2584113635525427,0.26360440502829996,-0.10272117826757104,0.07449289150423206,-0.10850468191446826,0.3585464195836777,-0.47462328397407966,-0.3954732360337288,-0.010261025476441374,0.8163012679383892,-0.7174770357128214,-0.15114648482588502,0.42044729679685167,-0.3002837810276204,0.5370748633024947,0.44471369011442
v2_osm_cambridge_haggle_offset_n_1000m_1000m_0646,-0.4686144837493754,-0.3271691606012367,-0.38483011400057415,-0.4685928905190605,-0.32738001379097287,-0.38406813961959063,0.38226791472178256,-0.19607040259849914,-0.2042469364749401,-0.2276212031199806,-0.05106061364539342,-0.42357857016686584,-0.39966969062394936,-0.3661063855571953,-0.25585263109063144,-0.010346944236245399,-0.6012592558641076,-0.2584113635525427,0.26360440502829996,-0.10272117826757104,0.07449289150423206,-0.10850468191446826,0.3585464195836777,-0.47462328397407966,-0.37492800941293275,-0.1686463262567361,0.8163012679383892,-0.7174770357128214,-0.15114648482588502,0.42044729679685167,-0.3002837810276204,0.5370748633024947,0.44471369011442
v2_osm_cambridge_haggle_offset_n_1000m_1500m_0051,-0.47074435439850665,-0.33705470089691913,-0.3866107226561631,-0.4706535453588064,-0.3370955845698261,-0.38575240214293055,0.37866483501371123,-0.23798773917907878,-0.2425870635667512,-0.2627231170581832,-0.15239336435230053,-0.41314164104050327,-0.3976579699484733,-0.3581376265164341,-0.38088833624790264,-0.13609437355395812,-0.5515271394595097,-0.2584113635525427,0.26360440502829996,-0.22514141025137968,-0.22027437383100296,-0.2234777977780721,-0.06729394778198125,-0.2762426029299742,-0.3362933527908578,0.03613784615234419,0.6593491245342139,-0.2981181548255015,-0.15049652957619175,0.3647938023491888,-0.3002837810276204,0.4539523963327268,0.34366236697601776
v2_osm_cambridge_haggle_offset_n_1000m_1500m_0391,-0.47074435439850665,-0.33705470089691913,-0.3866107226561631,-0.4706535453588064,-0.3370955845698261,-0.38575240214293055,0.37866483501371123,-0.23798773917907878,-0.2425870635667512,-0.2627231170581832,-0.15239336435230053,-0.41314164104050327,-0.3976579699484733,-0.3581376265164341,-0.38088833624790264,-0.13609437355395812,-0.5515271394595097,-0.2584113635525427,0.26360440502829996,-0.22514141025137968,-0.22027437383100296,-0.2234777977780721,-0.06729394778198125,-0.2762426029299742,-0.3310527149067251,0.1780082943190031,0.6593491245342139,-0.2981181548255015,-0.15049652957619175,0.3647938023491888,-0.3002837810276204,0.4539523963327268,0.34366236697601776
v2_osm_cambridge_haggle_offset_n_1000m_1500m_0731,-0.47074435439850665,-0.33705470089691913,-0.3866107226561631,-0.4706535453588064,-0.3370955845698261,-0.38575240214293055,0.37866483501371123,-0.23798773917907878,-0.2425870635667512,-0.2627231170581832,-0.15239336435230053,-0.41314164104050327,-0.3976579699484733,-0.3581376265164341,-0.38088833624790264,-0.13609437355395812,-0.5515271394595097,-0.2584113635525427,0.26360440502829996,-0.22514141025137968,-0.22027437383100296,-0.2234777977780721,-0.06729394778198125,-0.2762426029299742,-0.38764036838455035,-0.008530898059774989,0.6593491245342139,-0.2981181548255015,-0.15049652957619175,0.3647938023491888,-0.3002837810276204,0.4539523963327268,0.34366236697601776
v2_osm_cambridge_haggle_offset_n_1000m_200m_0136,-0.46595214543796143,-0.3321119307490779,-0.3851661977611781,-0.46588794824879975,-0.3324382617770236,-0.3844041772779437,0.3802947233832938,-0.14863961453975316,-0.16351055143989085,-0.23021444038495945,0.0642019165810261,-0.4429820538752567,-0.4104697027948733,-0.3762306286007853,-0.25585263109063144,0.19764287961153543,-0.5995922575488697,-0.2584113635525427,0.26360440502829996,0.05719307310611257,0.32171152554120014,0.047839513297545364,0.7158715170795624,-0.1898033999246368,-0.3787882648834807,-0.07191647523401408,0.8576636560488846,-0.28070409960221465,-0.15166785860856682,0.2028023810104574,-0.3002837810276204,0.6938409194296872,0.5993840826731989
v2_osm_cambridge_haggle_offset_n_1000m_200m_0476,-0.46595214543796143,-0.3321119307490779,-0.3851661977611781,-0.46588794824879975,-0.3324382617770236,-0.3844041772779437,0.3802947233832938,-0.14863961453975316,-0.16351055143989085,-0.23021444038495945,0.0642019165810261,-0.4429820538752567,-0.4104697027948733,-0.3762306286007853,-0.25585263109063144,0.19764287961153543,-0.5995922575488697,-0.2584113635525427,0.26360440502829996,0.05719307310611257,0.32171152554120014,0.047839513297545364,0.7158715170795624,-0.1898033999246368,-0.3768621498877811,0.26781763567505923,0.8576636560488846,-0.28070409960221465,-0.15166785860856682,0.2028023810104574,-0.3002837810276204,0.6938409194296872,0.5993840826731989
