map_id,batch_target,source_type,anchor_id,archetype,generator_type,world_size_x,world_size_y,world_area,bbox_width,bbox_height,useful_area,useful_area_ratio,n_nodes,n_edges,total_road_length_m,road_density,avg_edge_length_m,median_edge_length_m,avg_degree,max_degree,dead_end_ratio,intersection_ratio,n_components,largest_component_ratio,bridge_edges_count,bridge_edges_ratio,articulation_points_count,articulation_points_ratio,graph_diameter_approx,avg_shortest_path_approx,circuity_approx,orientation_entropy,gridness_score,corridor_score,radial_score,partition_score,community_score,tree_like_score,supports_map_based,supports_route_movement_candidate,supports_cluster_overlay,supports_wdm_candidate,supports_bus_route_candidate,validation_status,feature_omissions,sampling_seed
v2_osm_cambridge_haggle_offset_e_1500m_500m_0357,400,osm,cambridge_haggle,dense_urban_irregular,,1587,1591,2524917.0,1536.64,1540.19,2366713.9,0.9373432476897289,5134,5739,146018.64,0.0022729460017893656,13.4977,7.6878,2.2357,6,0.0989,0.2871,1,1.0,1342,0.233839,1245,0.242501,4528.98,1071.92,1.3489,5.123,0.3404,1.7621,0.6527,0.0,0.9385,0.4915,yes,yes,partial,yes,no,PASS,,3107330786
v2_osm_cambridge_haggle_offset_e_1500m_500m_0697,800,osm,cambridge_haggle,dense_urban_irregular,,1587,1591,2524917.0,1536.64,1540.19,2366713.9,0.9373432476897289,5134,5739,146018.64,0.0022729460017893656,13.4977,7.6878,2.2357,6,0.0989,0.2871,1,1.0,1342,0.233839,1245,0.242501,4528.98,1069.24,1.4753,5.123,0.3404,1.7621,0.6527,0.0,0.9385,0.4915,yes,yes,partial,yes,no,PASS,,3874971283
v2_osm_cambridge_haggle_offset_n_1000m_1000m_0306,400,osm,cambridge_haggle,dense_urban_irregular,,1064,1046,1112944.0,1013.69,995.25,1008880.36,0.906496968182782,1778,1992,60202.74,0.0017898474676174183,15.8428,9.3094,2.2407,6,0.0906,0.2666,1,1.0,474,0.237952,429,0.241282,2343.26,704.03,1.5199,5.0355,0.3092,1.7947,0.6358,0.0,0.9121,0.4864,yes,yes,partial,yes,no,PASS,,609055342
v2_osm_cambridge_haggle_offset_n_1000m_1000m_0646,800,osm,cambridge_haggle,dense_urban_irregular,,1064,1046,1112944.0,1013.69,995.25,1008880.36,0.906496968182782,1778,1992,60202.74,0.0017898474676174183,15.8428,9.3094,2.2407,6,0.0906,0.2666,1,1.0,474,0.237952,429,0.241282,2343.26,729.63,1.4192,5.0355,0.3092,1.7947,0.6358,0.0,0.9121,0.4864,yes,yes,partial,yes,no,PASS,,4238850670
v2_osm_cambridge_haggle_offset_n_1000m_1500m_0051,100,osm,cambridge_haggle,dense_urban_irregular,,1060,1028,1089680.0,1009.82,977.56,987156.51,0.905914133608704,1223,1400,47692.55,0.0012847808530944865,17.9836,9.7354,2.2895,5,0.0695,0.2845,1,1.0,203,0.145,190,0.155356,3302.17,777.77,1.5494,4.7843,0.4272,2.1728,0.6302,0.0,0.9007,0.4668,yes,yes,partial,yes,no,PASS,,2486526245
v2_osm_cambridge_haggle_offset_n_1000m_1500m_0391,600,osm,cambridge_haggle,dense_urban_irregular,,1060,1028,1089680.0,1009.82,977.56,987156.51,0.905914133608704,1223,1400,47692.55,0.0012847808530944865,17.9836,9.7354,2.2895,5,0.0695,0.2845,1,1.0,203,0.145,190,0.155356,3302.17,784.3,1.6396,4.7843,0.4272,2.1728,0.6302,0.0,0.9007,0.4668,yes,yes,partial,yes,no,PASS,,1591373259
v2_osm_cambridge_haggle_offset_n_1000m_1500m_0731,800,osm,cambridge_haggle,dense_urban_irregular,,1060,1028,1089680.0,1009.82,977.56,987156.51,0.905914133608704,1223,1400,47692.55,0.0012847808530944865,17.9836,9.7354,2.2895,5,0.0695,0.2845,1,1.0,203,0.145,190,0.155356,3302.17,713.79,1.521,4.7843,0.4272,2.1728,0.6302,0.0,0.9007,0.4668,yes,yes,partial,yes,no,PASS,,3589290037
v2_osm_cambridge_haggle_offset_n_1000m_200m_0136,200,osm,cambridge_haggle,dense_urban_irregular,,1069,1037,1108553.0,1018.77,986.04,1004546.1,0.9061777845325379,2406,2621,59278.52,0.002364343427873994,11.8628,7.0224,2.1787,6,0.1255,0.2672,1,1.0,828,0.31591,754,0.313383,3719.99,724.82,1.4807,5.1017,0.4321,1.4914,0.6139,0.0,0.9336,0.5164,yes,yes,partial,yes,no,PASS,,3565804531
v2_osm_cambridge_haggle_offset_n_1000m_200m_0476,600,osm,cambridge_haggle,dense_urban_irregular,,1069,1037,1108553.0,1018.77,986.04,1004546.1,0.9061777845325379,2406,2621,59278.52,0.002364343427873994,11.8628,7.0224,2.1787,6,0.1255,0.2672,1,1.0,828,0.31591,754,0.313383,3719.99,727.22,1.6967,5.1017,0.4321,1.4914,0.6139,0.0,0.9336,0.5164,yes,yes,partial,yes,no,PASS,,1642720550
v2_osm_cambridge_haggle_offset_n_1000m_200m_0816,1000,osm,cambridge_haggle,dense_urban_irregular,,1069,1037,1108553.0,1018.77,986.04,1004546.1,0.9061777845325379,2406,2621,59278.52,0.002364343427873994,11.8628,7.0224,2.1787,6,0.1255,0.2672,1,1.0,828,0.31591,754,0.313383,3719.99,700.69,1.6721,5.1017,0.4321,1.4914,0.6139,0.0,0.9336,0.5164,yes,yes,partial,yes,no,PASS,,3602258484
v2_osm_cambridge_haggle_offset_n_1000m_500m_0221,400,osm,cambridge_haggle,dense_urban_irregular,,1064,1060,1127840.0,1013.94,1009.35,1023419.7,0.9074156780483532,2210,2422,62323.3,0.00214746772591857,13.3626,8.0331,2.1919,6,0.1131,0.2629,1,1.0,666,0.274979,601,0.271946,2933.36,802.23,1.4647,5.0725,0.4001,1.5557,0.6241,0.0,0.9298,0.5076,yes,yes,partial,yes,no,PASS,,4056120243
v2_osm_cambridge_haggle_offset_n_1000m_500m_0561,800,osm,cambridge_haggle,dense_urban_irregular,,1064,1060,1127840.0,1013.94,1009.35,1023419.7,0.9074156780483532,2210,2422,62323.3,0.00214746772591857,13.3626,8.0331,2.1919,6,0.1131,0.2629,1,1.0,666,0.274979,601,0.271946,2933.36,774.7,1.658,5.0725,0.4001,1.5557,0.6241,0.0,0.9298,0.5076,yes,yes,partial,yes,no,PASS,,3347893402
v2_osm_cambridge_haggle_offset_s_2500m_1000m_0238,400,osm,cambridge_haggle,dense_urban_irregular,,2611,2557,6676327.0,2560.45,2506.43,6417580.48,0.9612441807579813,9463,10546,310286.59,0.0015796110645868605,15.322,8.4108,2.2289,7,0.1025,0.2778,1,1.0,2600,0.246539,2380,0.251506,7769.68,1587.84,1.3284,5.1074,0.4188,1.9192,0.5774,0.0,0.9555,0.4946,yes,yes,partial,yes,no,PASS,,2188199952
v2_osm_cambridge_haggle_offset_s_2500m_1000m_0578,800,osm,cambridge_haggle,dense_urban_irregular,,2611,2557,6676327.0,2560.45,2506.43,6417580.48,0.9612441807579813,9463,10546,310286.59,0.0015796110645868605,15.322,8.4108,2.2289,7,0.1025,0.2778,1,1.0,2600,0.246539,2380,0.251506,7769.68,1330.19,1.3164,5.1074,0.4188,1.9192,0.5774,0.0,0.9555,0.4946,yes,yes,partial,yes,no,PASS,,2483598948
v2_osm_cambridge_haggle_offset_s_2500m_1500m_0323,400,osm,cambridge_haggle,dense_urban_irregular,,2604,2573,6700092.0,2553.48,2522.34,6440742.84,0.9612917021139932,6790,7549,243566.08,0.0011267009467929693,16.7791,9.0325,2.2236,6,0.0997,0.2705,1,1.0,1868,0.24745,1718,0.253019,6288.34,1447.29,1.581,5.0865,0.4025,1.9159,0.5446,0.0,0.9519,0.4945,yes,yes,partial,yes,no,PASS,,4260850319
v2_osm_cambridge_haggle_offset_s_2500m_1500m_0663,800,osm,cambridge_haggle,dense_urban_irregular,,2604,2573,6700092.0,2553.48,2522.34,6440742.84,0.9612917021139932,6790,7549,243566.08,0.0011267009467929693,16.7791,9.0325,2.2236,6,0.0997,0.2705,1,1.0,1868,0.24745,1718,0.253019,6288.34,1418.63,1.4719,5.0865,0.4025,1.9159,0.5446,0.0,0.9519,0.4945,yes,yes,partial,yes,no,PASS,,947249004
v2_osm_cambridge_haggle_offset_s_2500m_200m_0068,200,osm,cambridge_haggle,dense_urban_irregular,,2599,2591,6734009.0,2548.53,2540.21,6473792.45,0.961357854650971,11934,13310,372489.07,0.001976534334896196,14.6482,8.2623,2.2306,7,0.1003,0.2784,1,1.0,3050,0.229151,2787,0.233534,6036.92,1686.33,1.2986,5.1401,0.4108,1.3771,0.5764,0.0,0.9553,0.4932,yes,yes,partial,yes,no,PASS,,2615101326
v2_osm_cambridge_haggle_offset_s_2500m_200m_0408,600,osm,cambridge_haggle,dense_urban_irregular,,2599,2591,6734009.0,2548.53,2540.21,6473792.45,0.961357854650971,11934,13310,372489.07,0.001976534334896196,14.6482,8.2623,2.2306,7,0.1003,0.2784,1,1.0,3050,0.229151,2787,0.233534,6036.92,1539.6,1.4157,5.1401,0.4108,1.3771,0.5764,0.0,0.9553,0.4932,yes,yes,partial,yes,no,PASS,,2917172493
v2_osm_cambridge_haggle_offset_s_2500m_200m_0748,800,osm,cambridge_haggle,dense_urban_irregular,,2599,2591,6734009.0,2548.53,2540.21,6473792.45,0.961357854650971,11934,13310,372489.07,0.001976534334896196,14.6482,8.2623,2.2306,7,0.1003,0.2784,1,1.0,3050,0.229151,2787,0.233534,6036.92,1612.49,1.3574,5.1401,0.4108,1.3771,0.5764,0.0,0.9553,0.4932,yes,yes,partial,yes,no,PASS,,1466971302
v2_osm_cambridge_haggle_offset_s_2500m_500m_0153,200,osm,cambridge_haggle,dense_urban_irregular,,2616,2567,6715272.0,2565.21,2516.54,6455438.48,0.9613070745855469,11160,12462,355898.99,0.0018557699524308173,14.8968,8.2936,2.2333,7,0.0982,0.2784,1,1.0,2946,0.236399,2692,0.241219,6951.02,1527.22,1.3363,5.123,0.434,1.4412,0.5774,0.0,0.9563,0.4917,yes,yes,partial,yes,no,PASS,,3972320406
v2_osm_cambridge_haggle_offset_s_2500m_500m_0493,600,osm,cambridge_haggle,dense_urban_irregular,,2616,2567,6715272.0,2565.21,2516.54,6455438.48,0.9613070745855469,11160,12462,355898.99,0.0018557699524308173,14.8968,8.2936,2.2333,7,0.0982,0.2784,1,1.0,2946,0.236399,2692,0.241219,6951.02,1434.86,1.2601,5.123,0.434,1.4412,0.5774,0.0,0.9563,0.4917,yes,yes,partial,yes,no,PASS,,1202095638
v2_osm_cambridge_haggle_offset_s_2500m_500m_0833,1000,osm,cambridge_haggle,dense_urban_irregular,,2616,2567,6715272.0,2565.21,2516.54,6455438.48,0.9613070745855469,11160,12462,355898.99,0.0018557699524308173,14.8968,8.2936,2.2333,7,0.0982,0.2784,1,1.0,2946,0.236399,2692,0.241219,6951.02,1656.92,1.3068,5.123,0.434,1.4412,0.5774,0.0,0.9563,0.4917,yes,yes,partial,yes,no,PASS,,901369924
v2_osm_cambridge_haggle_offset_w_5000m_1000m_0034,100,osm,cambridge_haggle,dense_urban_irregular,,5141,5143,26440163.0,5090.34,5092.47,25922400.35,0.9804175696520971,28695,32080,1021961.12,0.0012133056819657276,16.5849,9.4341,2.2359,7,0.0987,0.2781,1,1.0,7323,0.228273,6622,0.230772,13654.75,3055.95,1.3207,5.134,0.4023,1.3411,0.5443,0.0,0.9664,0.4913,yes,yes,partial,yes,no,PASS,,1521961594
v2_osm_cambridge_haggle_offset_w_5000m_1000m_0374,600,osm,cambridge_haggle,dense_urban_irregular,,5141,5143,26440163.0,5090.34,5092.47,25922400.35,0.9804175696520971,28695,32080,1021961.12,0.0012133056819657276,16.5849,9.4341,2.2359,7,0.0987,0.2781,1,1.0,7323,0.228273,6622,0.230772,13654.75,2544.0,1.3585,5.134,0.4023,1.3411,0.5443,0.0,0.9664,0.4913,yes,yes,partial,yes,no,PASS,,43672257
v2_osm_cambridge_haggle_offset_w_5000m_1000m_0714,800,osm,cambridge_haggle,dense_urban_irregular,,5141,5143,26440163.0,5090.34,5092.47,25922400.35,0.9804175696520971,28695,32080,1021961.12,0.0012133056819657276,16.5849,9.4341,2.2359,7,0.0987,0.2781,1,1.0,7323,0.228273,6622,0.230772,13654.75,2495.99,1.3007,5.134,0.4023,1.3411,0.5443,0.0,0.9664,0.4913,yes,yes,partial,yes,no,PASS,,2712110876
v2_osm_cambridge_haggle_offset_w_5000m_1500m_0119,200,osm,cambridge_haggle,dense_urban_irregular,,5110,5152,26326720.0,5059.05,5101.22,25807365.6,0.9802727266483264,24404,27276,896459.14,0.0010360576630890593,17.0709,9.5176,2.2354,7,0.0932,0.2712,1,1.0,6019,0.22067,5480,0.224553,10456.42,2655.8,1.3053,5.1274,0.4127,1.097,0.528,0.0,0.9638,0.489,yes,yes,partial,yes,no,PASS,,1615560180
v2_osm_cambridge_haggle_offset_w_5000m_1500m_0459,600,osm,cambridge_haggle,dense_urban_irregular,,5110,5152,26326720.0,5059.05,5101.22,25807365.6,0.9802727266483264,24404,27276,896459.14,0.0010360576630890593,17.0709,9.5176,2.2354,7,0.0932,0.2712,1,1.0,6019,0.22067,5480,0.224553,10456.42,2982.69,1.3484,5.1274,0.4127,1.097,0.528,0.0,0.9638,0.489,yes,yes,partial,yes,no,PASS,,4271251747
v2_osm_cambridge_haggle_offset_w_5000m_1500m_0799,1000,osm,cambridge_haggle,dense_urban_irregular,,5110,5152,26326720.0,5059.05,5101.22,25807365.6,0.9802727266483264,24404,27276,896459.14,0.0010360576630890593,17.0709,9.5176,2.2354,7,0.0932,0.2712,1,1.0,6019,0.22067,5480,0.224553,10456.42,3100.53,1.3535,5.1274,0.4127,1.097,0.528,0.0,0.9638,0.489,yes,yes,partial,yes,no,PASS,,3918753578
v2_osm_cambridge_haggle_offset_w_5000m_200m_0204,400,osm,cambridge_haggle,dense_urban_irregular,,5197,5130,26660610.0,5146.6,5079.29,26141078.94,0.980513159388186,32859,36856,1171312.06,0.0013824139807753835,16.5398,9.4601,2.2433,7,0.1006,0.2865,1,1.0,8541,0.23174,7734,0.235369,11408.83,2635.05,1.3184,5.1336,0.3818,1.5336,0.5747,0.0,0.9678,0.4906,yes,yes,partial,yes,no,PASS,,984261482
v2_osm_cambridge_haggle_offset_w_5000m_200m_0544,600,osm,cambridge_haggle,dense_urban_irregular,,5197,5130,26660610.0,5146.6,5079.29,26141078.94,0.980513159388186,32859,36856,1171312.06,0.0013824139807753835,16.5398,9.4601,2.2433,7,0.1006,0.2865,1,1.0,8541,0.23174,7734,0.235369,11408.83,2994.42,1.3265,5.1336,0.3818,1.5336,0.5747,0.0,0.9678,0.4906,yes,yes,partial,yes,no,PASS,,3764315262
v2_osm_cambridge_haggle_offset_w_5000m_500m_0289,400,osm,cambridge_haggle,dense_urban_irregular,,5132,5114,26245048.0,5081.51,5063.08,25728102.56,0.9803031247216089,31603,35426,1118837.88,0.0013498165444391643,16.4491,9.3815,2.2419,7,0.1003,0.2845,1,1.0,8187,0.231101,7411,0.234503,11635.74,3086.11,1.2934,5.1349,0.3861,1.5123,0.5732,0.0,0.9677,0.4908,yes,yes,partial,yes,no,PASS,,1545702806
v2_osm_cambridge_haggle_offset_w_5000m_500m_0629,800,osm,cambridge_haggle,dense_urban_irregular,,5132,5114,26245048.0,5081.51,5063.08,25728102.56,0.9803031247216089,31603,35426,1118837.88,0.0013498165444391643,16.4491,9.3815,2.2419,7,0.1003,0.2845,1,1.0,8187,0.231101,7411,0.234503,11635.74,2241.08,1.3004,5.1349,0.3861,1.5123,0.5732,0.0,0.9677,0.4908,yes,yes,partial,yes,no,PASS,,1258762856
v2_osm_dieselnet_amherst_exact_500m_0m_0035,100,osm,dieselnet_amherst,bus_route_urban_suburban,,499,477,238023.0,448.76,426.49,191391.33,0.8040875299313048,45,46,3546.37,0.0001932586346697588,38.5475,27.6736,2.0444,3,0.0444,0.0889,1,1.0,4,0.086957,4,0.088889,1329.51,305.71,1.5342,2.4936,0.6087,1.4266,0.5682,0.0,0.7609,0.4995,yes,yes,no,no,yes,PASS,,30725406
v2_osm_dieselnet_amherst_exact_500m_0m_0120,200,osm,dieselnet_amherst,bus_route_urban_suburban,,499,477,238023.0,448.76,426.49,191391.33,0.8040875299313048,45,46,3546.37,0.0001932586346697588,38.5475,27.6736,2.0444,3,0.0444,0.0889,1,1.0,4,0.086957,4,0.088889,1329.51,323.28,1.4267,2.4936,0.6087,1.4266,0.5682,0.0,0.7609,0.4995,yes,yes,no,no,yes,PASS,,3711053518
v2_osm_dieselnet_amherst_exact_500m_0m_0205,400,osm,dieselnet_amherst,bus_route_urban_suburban,,499,477,238023.0,448.76,426.49,191391.33,0.8040875299313048,45,46,3546.37,0.0001932586346697588,38.5475,27.6736,2.0444,3,0.0444,0.0889,1,1.0,4,0.086957,4,0.088889,1329.51,348.45,1.4999,2.4936,0.6087,1.4266,0.5682,0.0,0.7609,0.4995,yes,yes,no,no,yes,PASS,,1862812728
