planned_map_id,archetype,source_type,anchor_id,trace_id,generator_type,seed,builder,input_reference,output_directory,config_hash,enabled,skip_reason,generator_parameters,extracted_parameters,parameter_extractor,trace_support,window_size_m,variant_type,offset_m,network_type,batch_target
v2_syn_conference_event_compact_seed,conference_event_compact,synthetic,,,conference_event_compact,2086454695,synthetic,generator:conference_event_compact,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_conference_event_compact_seed,2150301fb651c754,True,,"{""corridor_width_m"":8,""hall_count"":2,""inter_hall_gap_m"":30,""room_spacing_m"":15,""rooms_per_hall"":4}",,,,0,,0,,100
v2_syn_corridor_seed,corridor_linear,synthetic,,,corridor,1327921771,synthetic,generator:corridor,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_corridor_seed,2150301fb651c754,True,,"{""branch_length_m"":100,""branch_prob"":0.0,""length_m"":2000,""width_m"":400}",,,,0,,0,,100
v2_syn_disrupted_grid_seed,industrial_disrupted,synthetic,,,disrupted_grid,3640067042,synthetic,generator:disrupted_grid,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_disrupted_grid_seed,2150301fb651c754,True,,"{""block_size_m"":60,""grid_cols"":10,""grid_rows"":10,""removal_mode"":""random"",""removal_rate"":0.05}",,,,0,,0,,100
v2_syn_grid_seed,urban_grid,synthetic,,,grid,2969128088,synthetic,generator:grid,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_grid_seed,2150301fb651c754,True,,"{""block_size_m"":40,""diagonal_links"":false,""grid_cols"":8,""grid_rows"":8}",,,,0,,0,,100
v2_syn_hub_and_spoke_seed,hub_and_spoke,synthetic,,,hub_and_spoke,186037436,synthetic,generator:hub_and_spoke,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_hub_and_spoke_seed,2150301fb651c754,True,,"{""hub_spacing_m"":200,""n_hubs"":1,""spoke_length_m"":150,""spokes_per_hub"":4}",,,,0,,0,,100
v2_syn_jittered_grid_seed,dense_urban_irregular,synthetic,,,jittered_grid,3991275791,synthetic,generator:jittered_grid,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_jittered_grid_seed,2150301fb651c754,True,,"{""block_size_m"":40,""diagonal_links"":false,""grid_cols"":8,""grid_rows"":8,""jitter_m"":0}",,,,0,,0,,100
v2_syn_partitioned_bridge_seed,island_or_partitioned,synthetic,,,partitioned_bridge,3990683619,synthetic,generator:partitioned_bridge,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_partitioned_bridge_seed,2150301fb651c754,True,,"{""bridges_per_pair"":1,""intra_density"":0.4,""n_partitions"":2,""nodes_per_partition"":15}",,,,0,,0,,100
v2_syn_radial_city_seed,radial_city,synthetic,,,radial_city,3732928597,synthetic,generator:radial_city,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_radial_city_seed,2150301fb651c754,True,,"{""n_rings"":3,""n_spokes"":6,""radial_noise_m"":0,""ring_spacing_m"":80}",,,,0,,0,,100
v2_syn_sparse_rural_seed,rural_roads,synthetic,,,sparse_rural,870893320,synthetic,generator:sparse_rural,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_sparse_rural_seed,2150301fb651c754,True,,"{""connection_radius_m"":200,""long_edge_prob"":0.1,""n_nodes"":20,""pos_noise_m"":0}",,,,0,,0,,100
v2_syn_tree_trails_seed,sparse_trails,synthetic,,,tree_trails,314543130,synthetic,generator:tree_trails,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_syn_tree_trails_seed,2150301fb651c754,True,,"{""branch_factor"":2,""depth"":3,""edge_length_m"":80,""trail_jitter_m"":0}",,,,0,,0,,100
v2_trs_haggle_one_cambridge_city_complete_clustered_communities_seed,clustered_communities,trace_reference_synthetic,cambridge_haggle,haggle_one_cambridge_city_complete,clustered_communities,902018466,trace_reference_synthetic,trace:haggle_one_cambridge_city_complete|extractor:standard_events_contact_summary_v1,/home/raul/Documents/the-one/scenarios/Generated_Map_Space_v1/batch_0100/wkt/v2_trs_haggle_one_cambridge_city_complete_clustered_communities_seed,2150301fb651c754,True,,"{""inter_bridge_count"":2,""inter_gap_m"":300,""intra_density"":0.9,""n_clusters"":4,""nodes_per_cluster"":12}","{""contact_duration_count"":9010,""contact_duration_mean_s"":609.9981132075471,""contacts"":10873,""density_proxy"":8.199849170437405,""downs"":10873,""duration_seconds"":987529,""events"":21746,""extractor"":""standard_events_contact_summary_v1"",""geometry_rule"":""none_automatic; map via configured target_generators only"",""mean_degree_events"":418.1923076923077,""n_nodes"":52,""trace_id"":""haggle_one_cambridge_city_complete"",""up_down_balanced"":true,""ups"":10873}",standard_events_contact_summary_v1,,0,,0,,100
