map_id,batch_target,source_type,anchor_id,anchor_label,archetype,generator_type,wkt_dir,roads_wkt,preview_png,metadata_json,world_size_x,world_size_y,crs,network_type,bbox_or_params,seed,generation_status,generation_notes
OSM_cambridge_haggle_offset_n_1500m_1000m_1819,2000,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_2000/wkt/map_1819,,,batch_2000/wkt/map_1819/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1000.0,""center_lat"":52.213983,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",3083303983,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_1500m_1500m_0278,400,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0400/wkt/map_0278,batch_0400/wkt/map_0278/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1500m_1500m_0278.png,batch_0400/wkt/map_0278/metadata.json,1571,1577,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1500.0,""center_lat"":52.218475,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",1487378876,OK,
OSM_cambridge_haggle_offset_n_1500m_1500m_0739,800,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0800/wkt/map_0739,batch_0800/wkt/map_0739/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1500m_1500m_0739.png,batch_0800/wkt/map_0739/metadata.json,1571,1577,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1500.0,""center_lat"":52.218475,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",131920535,OK,
OSM_cambridge_haggle_offset_n_1500m_1500m_1223,1600,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1600/wkt/map_1223,,,batch_1600/wkt/map_1223/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1500.0,""center_lat"":52.218475,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",3170345260,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_1500m_1500m_1711,2000,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_2000/wkt/map_1711,,,batch_2000/wkt/map_1711/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":1500.0,""center_lat"":52.218475,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",171130102,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_1500m_200m_0160,200,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0200/wkt/map_0160,batch_0200/wkt/map_0160/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1500m_200m_0160.png,batch_0200/wkt/map_0160/metadata.json,1592,1560,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":200.0,""center_lat"":52.206797,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",3176792615,OK,
OSM_cambridge_haggle_offset_n_1500m_200m_0628,800,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0800/wkt/map_0628,batch_0800/wkt/map_0628/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1500m_200m_0628.png,batch_0800/wkt/map_0628/metadata.json,1592,1560,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":200.0,""center_lat"":52.206797,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",1523643778,OK,
OSM_cambridge_haggle_offset_n_1500m_200m_1094,1200,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1200/wkt/map_1094,batch_1200/wkt/map_1094/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1500m_200m_1094.png,batch_1200/wkt/map_1094/metadata.json,1592,1560,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":200.0,""center_lat"":52.206797,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",1111556256,OK,
OSM_cambridge_haggle_offset_n_1500m_200m_1563,1600,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_1600/wkt/map_1563,,,batch_1600/wkt/map_1563/metadata.json,0,0,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":200.0,""center_lat"":52.206797,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",2108039092,FAIL_DOWNLOAD_TRANSIENT,No module named 'osmnx'
OSM_cambridge_haggle_offset_n_1500m_500m_0053,100,osm,cambridge_haggle,Cambridge UK (Haggle),dense_urban_irregular,,batch_0100/wkt/map_0053,batch_0100/wkt/map_0053/roads.wkt,previews/OSM_cambridge_haggle_offset_n_1500m_500m_0053.png,batch_0100/wkt/map_0053/metadata.json,1578,1638,EPSG:27700,all,"{""_allow_partitioned"":false,""_topology_flags"":[],""anchor_distance_m"":500.0,""center_lat"":52.209492,""center_lon"":0.12,""height_m"":1500,""osm_network_type"":""all"",""variant_type"":""offset_n"",""width_m"":1500,""window_size_m"":1500.0}",442369337,OK,
