duplicate_scenario,duplicate_candidate_id,representative_scenario,representative_candidate_id,feature_set
SV1_C16340,C16340,SV1_C16220,C16220,core23
SV1_C16341,C16341,SV1_C16221,C16221,core23
SV1_C16342,C16342,SV1_C16222,C16222,core23
SV1_C16343,C16343,SV1_C16223,C16223,core23
SV1_C16344,C16344,SV1_C16224,C16224,core23
SV1_C16345,C16345,SV1_C16225,C16225,core23
SV1_C16346,C16346,SV1_C16226,C16226,core23
SV1_C16347,C16347,SV1_C16227,C16227,core23
SV1_C16348,C16348,SV1_C16228,C16228,core23
SV1_C16349,C16349,SV1_C16229,C16229,core23
SV1_C16350,C16350,SV1_C16230,C16230,core23
SV1_C16351,C16351,SV1_C16231,C16231,core23
SV1_C16352,C16352,SV1_C16232,C16232,core23
SV1_C16353,C16353,SV1_C16233,C16233,core23
SV1_C16354,C16354,SV1_C16234,C16234,core23
SV1_C16355,C16355,SV1_C16235,C16235,core23
SV1_C16356,C16356,SV1_C16236,C16236,core23
SV1_C16357,C16357,SV1_C16237,C16237,core23
SV1_C16358,C16358,SV1_C16238,C16238,core23
SV1_C16359,C16359,SV1_C16239,C16239,core23
SV1_C16360,C16360,SV1_C16240,C16240,core23
SV1_C16361,C16361,SV1_C16241,C16241,core23
SV1_C16362,C16362,SV1_C16242,C16242,core23
SV1_C16363,C16363,SV1_C16243,C16243,core23
SV1_C16364,C16364,SV1_C16244,C16244,core23
SV1_C16365,C16365,SV1_C16245,C16245,core23
SV1_C16366,C16366,SV1_C16246,C16246,core23
SV1_C16367,C16367,SV1_C16247,C16247,core23
SV1_C16368,C16368,SV1_C16224,C16224,core23
SV1_C16369,C16369,SV1_C16225,C16225,core23
SV1_C16370,C16370,SV1_C16226,C16226,core23
SV1_C16371,C16371,SV1_C16227,C16227,core23
SV1_C16372,C16372,SV1_C16228,C16228,core23
SV1_C16373,C16373,SV1_C16229,C16229,core23
SV1_C16374,C16374,SV1_C16230,C16230,core23
SV1_C16375,C16375,SV1_C16231,C16231,core23
SV1_C16376,C16376,SV1_C16232,C16232,core23
SV1_C16377,C16377,SV1_C16233,C16233,core23
SV1_C16378,C16378,SV1_C16234,C16234,core23
SV1_C16379,C16379,SV1_C16235,C16235,core23
SV1_C16380,C16380,SV1_C16236,C16236,core23
SV1_C16381,C16381,SV1_C16237,C16237,core23
SV1_C16382,C16382,SV1_C16238,C16238,core23
SV1_C16383,C16383,SV1_C16239,C16239,core23
SV1_C16384,C16384,SV1_C16240,C16240,core23
SV1_C16385,C16385,SV1_C16241,C16241,core23
SV1_C16386,C16386,SV1_C16242,C16242,core23
SV1_C16387,C16387,SV1_C16243,C16243,core23
SV1_C16388,C16388,SV1_C16244,C16244,core23
SV1_C16389,C16389,SV1_C16245,C16245,core23
SV1_C16390,C16390,SV1_C16246,C16246,core23
SV1_C16391,C16391,SV1_C16247,C16247,core23
SV1_C16392,C16392,SV1_C16272,C16272,core23
SV1_C16393,C16393,SV1_C16273,C16273,core23
SV1_C16394,C16394,SV1_C16274,C16274,core23
SV1_C16395,C16395,SV1_C16275,C16275,core23
SV1_C16396,C16396,SV1_C16276,C16276,core23
SV1_C16397,C16397,SV1_C16277,C16277,core23
SV1_C16398,C16398,SV1_C16278,C16278,core23
SV1_C16399,C16399,SV1_C16279,C16279,core23
SV1_C16400,C16400,SV1_C16280,C16280,core23
SV1_C16401,C16401,SV1_C16281,C16281,core23
SV1_C16402,C16402,SV1_C16282,C16282,core23
SV1_C16403,C16403,SV1_C16283,C16283,core23
SV1_C16404,C16404,SV1_C16284,C16284,core23
SV1_C16405,C16405,SV1_C16285,C16285,core23
SV1_C16406,C16406,SV1_C16286,C16286,core23
SV1_C16407,C16407,SV1_C16287,C16287,core23
SV1_C16408,C16408,SV1_C16288,C16288,core23
SV1_C16409,C16409,SV1_C16289,C16289,core23
SV1_C16410,C16410,SV1_C16290,C16290,core23
SV1_C16411,C16411,SV1_C16291,C16291,core23
SV1_C16412,C16412,SV1_C16292,C16292,core23
SV1_C16413,C16413,SV1_C16293,C16293,core23
SV1_C16414,C16414,SV1_C16294,C16294,core23
SV1_C16415,C16415,SV1_C16295,C16295,core23
SV1_C16416,C16416,SV1_C01896,C01896,core23
SV1_C16417,C16417,SV1_C01897,C01897,core23
SV1_C16418,C16418,SV1_C01898,C01898,core23
SV1_C16419,C16419,SV1_C01899,C01899,core23
SV1_C16420,C16420,SV1_C01900,C01900,core23
SV1_C16421,C16421,SV1_C01901,C01901,core23
SV1_C16422,C16422,SV1_C01902,C01902,core23
SV1_C16423,C16423,SV1_C01903,C01903,core23
SV1_C16424,C16424,SV1_C01904,C01904,core23
SV1_C16425,C16425,SV1_C01905,C01905,core23
SV1_C16426,C16426,SV1_C01906,C01906,core23
SV1_C16427,C16427,SV1_C01907,C01907,core23
SV1_C16428,C16428,SV1_C01908,C01908,core23
SV1_C16429,C16429,SV1_C01909,C01909,core23
SV1_C16430,C16430,SV1_C01910,C01910,core23
SV1_C16431,C16431,SV1_C01911,C01911,core23
SV1_C16432,C16432,SV1_C01912,C01912,core23
SV1_C16433,C16433,SV1_C01913,C01913,core23
SV1_C16434,C16434,SV1_C01914,C01914,core23
SV1_C16435,C16435,SV1_C01915,C01915,core23
SV1_C16436,C16436,SV1_C01916,C01916,core23
SV1_C16437,C16437,SV1_C01917,C01917,core23
SV1_C16438,C16438,SV1_C01918,C01918,core23
SV1_C16439,C16439,SV1_C01919,C01919,core23
SV1_C16440,C16440,SV1_C16200,C16200,core23
SV1_C16441,C16441,SV1_C16201,C16201,core23
SV1_C16442,C16442,SV1_C16202,C16202,core23
SV1_C16443,C16443,SV1_C16203,C16203,core23
SV1_C16444,C16444,SV1_C16204,C16204,core23
SV1_C16445,C16445,SV1_C16205,C16205,core23
SV1_C16446,C16446,SV1_C16206,C16206,core23
SV1_C16447,C16447,SV1_C16207,C16207,core23
SV1_C16448,C16448,SV1_C16208,C16208,core23
SV1_C16449,C16449,SV1_C16209,C16209,core23
SV1_C16450,C16450,SV1_C16210,C16210,core23
SV1_C16451,C16451,SV1_C16211,C16211,core23
SV1_C16452,C16452,SV1_C16212,C16212,core23
SV1_C16453,C16453,SV1_C16213,C16213,core23
SV1_C16454,C16454,SV1_C16214,C16214,core23
SV1_C16455,C16455,SV1_C16215,C16215,core23
SV1_C16456,C16456,SV1_C16216,C16216,core23
SV1_C16457,C16457,SV1_C16217,C16217,core23
SV1_C16458,C16458,SV1_C16218,C16218,core23
SV1_C16459,C16459,SV1_C16219,C16219,core23
SV1_C16460,C16460,SV1_C16220,C16220,core23
SV1_C16461,C16461,SV1_C16221,C16221,core23
SV1_C16462,C16462,SV1_C16222,C16222,core23
SV1_C16463,C16463,SV1_C16223,C16223,core23
SV1_C16464,C16464,SV1_C16224,C16224,core23
SV1_C16465,C16465,SV1_C16225,C16225,core23
SV1_C16466,C16466,SV1_C16226,C16226,core23
SV1_C16467,C16467,SV1_C16227,C16227,core23
SV1_C16468,C16468,SV1_C16228,C16228,core23
SV1_C16469,C16469,SV1_C16229,C16229,core23
SV1_C16470,C16470,SV1_C16230,C16230,core23
SV1_C16471,C16471,SV1_C16231,C16231,core23
SV1_C16472,C16472,SV1_C16232,C16232,core23
SV1_C16473,C16473,SV1_C16233,C16233,core23
SV1_C16474,C16474,SV1_C16234,C16234,core23
SV1_C16475,C16475,SV1_C16235,C16235,core23
SV1_C16476,C16476,SV1_C16236,C16236,core23
SV1_C16477,C16477,SV1_C16237,C16237,core23
SV1_C16478,C16478,SV1_C16238,C16238,core23
SV1_C16479,C16479,SV1_C16239,C16239,core23
SV1_C16480,C16480,SV1_C16240,C16240,core23
SV1_C16481,C16481,SV1_C16241,C16241,core23
SV1_C16482,C16482,SV1_C16242,C16242,core23
SV1_C16483,C16483,SV1_C16243,C16243,core23
SV1_C16484,C16484,SV1_C16244,C16244,core23
SV1_C16485,C16485,SV1_C16245,C16245,core23
SV1_C16486,C16486,SV1_C16246,C16246,core23
SV1_C16487,C16487,SV1_C16247,C16247,core23
SV1_C16488,C16488,SV1_C16224,C16224,core23
SV1_C16489,C16489,SV1_C16225,C16225,core23
SV1_C16490,C16490,SV1_C16226,C16226,core23
SV1_C16491,C16491,SV1_C16227,C16227,core23
SV1_C16492,C16492,SV1_C16228,C16228,core23
SV1_C16493,C16493,SV1_C16229,C16229,core23
SV1_C16494,C16494,SV1_C16230,C16230,core23
SV1_C16495,C16495,SV1_C16231,C16231,core23
SV1_C16496,C16496,SV1_C16232,C16232,core23
SV1_C16497,C16497,SV1_C16233,C16233,core23
SV1_C16498,C16498,SV1_C16234,C16234,core23
SV1_C16499,C16499,SV1_C16235,C16235,core23
SV1_C16500,C16500,SV1_C16236,C16236,core23
SV1_C16501,C16501,SV1_C16237,C16237,core23
SV1_C16502,C16502,SV1_C16238,C16238,core23
SV1_C16503,C16503,SV1_C16239,C16239,core23
SV1_C16504,C16504,SV1_C16240,C16240,core23
SV1_C16505,C16505,SV1_C16241,C16241,core23
SV1_C16506,C16506,SV1_C16242,C16242,core23
SV1_C16507,C16507,SV1_C16243,C16243,core23
SV1_C16508,C16508,SV1_C16244,C16244,core23
SV1_C16509,C16509,SV1_C16245,C16245,core23
SV1_C16510,C16510,SV1_C16246,C16246,core23
SV1_C16511,C16511,SV1_C16247,C16247,core23
SV1_C16512,C16512,SV1_C16272,C16272,core23
SV1_C16513,C16513,SV1_C16273,C16273,core23
SV1_C16514,C16514,SV1_C16274,C16274,core23
SV1_C16515,C16515,SV1_C16275,C16275,core23
SV1_C16516,C16516,SV1_C16276,C16276,core23
SV1_C16517,C16517,SV1_C16277,C16277,core23
SV1_C16518,C16518,SV1_C16278,C16278,core23
SV1_C16519,C16519,SV1_C16279,C16279,core23
SV1_C16520,C16520,SV1_C16280,C16280,core23
SV1_C16521,C16521,SV1_C16281,C16281,core23
SV1_C16522,C16522,SV1_C16282,C16282,core23
SV1_C16523,C16523,SV1_C16283,C16283,core23
SV1_C16524,C16524,SV1_C16284,C16284,core23
SV1_C16525,C16525,SV1_C16285,C16285,core23
SV1_C16526,C16526,SV1_C16286,C16286,core23
