duplicate_scenario,duplicate_candidate_id,representative_scenario,representative_candidate_id,feature_set
SV1_C85978,C85978,SV1_C71554,C71554,full46
SV1_C85979,C85979,SV1_C71555,C71555,full46
SV1_C85980,C85980,SV1_C71556,C71556,full46
SV1_C85981,C85981,SV1_C71557,C71557,full46
SV1_C85982,C85982,SV1_C71558,C71558,full46
SV1_C85983,C85983,SV1_C71559,C71559,full46
SV1_C85984,C85984,SV1_C71560,C71560,full46
SV1_C85985,C85985,SV1_C71561,C71561,full46
SV1_C85986,C85986,SV1_C71562,C71562,full46
SV1_C85987,C85987,SV1_C71563,C71563,full46
SV1_C85988,C85988,SV1_C71564,C71564,full46
SV1_C85989,C85989,SV1_C71565,C71565,full46
SV1_C85990,C85990,SV1_C71566,C71566,full46
SV1_C85991,C85991,SV1_C71567,C71567,full46
SV1_C86064,C86064,SV1_C71664,C71664,full46
SV1_C86065,C86065,SV1_C71665,C71665,full46
SV1_C86066,C86066,SV1_C71666,C71666,full46
SV1_C86067,C86067,SV1_C71667,C71667,full46
SV1_C86068,C86068,SV1_C71668,C71668,full46
SV1_C86069,C86069,SV1_C71669,C71669,full46
SV1_C86070,C86070,SV1_C71670,C71670,full46
SV1_C86071,C86071,SV1_C71671,C71671,full46
SV1_C86072,C86072,SV1_C71672,C71672,full46
SV1_C86073,C86073,SV1_C71673,C71673,full46
SV1_C86074,C86074,SV1_C71674,C71674,full46
SV1_C86075,C86075,SV1_C71675,C71675,full46
SV1_C86076,C86076,SV1_C71676,C71676,full46
SV1_C86077,C86077,SV1_C71677,C71677,full46
SV1_C86078,C86078,SV1_C71678,C71678,full46
SV1_C86079,C86079,SV1_C71679,C71679,full46
SV1_C86080,C86080,SV1_C71680,C71680,full46
SV1_C86081,C86081,SV1_C71681,C71681,full46
SV1_C86082,C86082,SV1_C71682,C71682,full46
SV1_C86083,C86083,SV1_C71683,C71683,full46
SV1_C86084,C86084,SV1_C71684,C71684,full46
SV1_C86085,C86085,SV1_C71685,C71685,full46
SV1_C86086,C86086,SV1_C71686,C71686,full46
SV1_C86087,C86087,SV1_C71687,C71687,full46
SV1_C86088,C86088,SV1_C71664,C71664,full46
SV1_C86089,C86089,SV1_C71665,C71665,full46
SV1_C86090,C86090,SV1_C71666,C71666,full46
SV1_C86091,C86091,SV1_C71667,C71667,full46
SV1_C86092,C86092,SV1_C71668,C71668,full46
SV1_C86093,C86093,SV1_C71669,C71669,full46
SV1_C86094,C86094,SV1_C71670,C71670,full46
SV1_C86095,C86095,SV1_C71671,C71671,full46
SV1_C86096,C86096,SV1_C71672,C71672,full46
SV1_C86097,C86097,SV1_C71673,C71673,full46
SV1_C86098,C86098,SV1_C71674,C71674,full46
SV1_C86099,C86099,SV1_C71675,C71675,full46
SV1_C86100,C86100,SV1_C71676,C71676,full46
SV1_C86101,C86101,SV1_C71677,C71677,full46
SV1_C86102,C86102,SV1_C71678,C71678,full46
SV1_C86103,C86103,SV1_C71679,C71679,full46
SV1_C86104,C86104,SV1_C71680,C71680,full46
SV1_C86105,C86105,SV1_C71681,C71681,full46
SV1_C86106,C86106,SV1_C71682,C71682,full46
SV1_C86107,C86107,SV1_C71683,C71683,full46
SV1_C86108,C86108,SV1_C71684,C71684,full46
SV1_C86109,C86109,SV1_C71685,C71685,full46
SV1_C86110,C86110,SV1_C71686,C71686,full46
SV1_C86111,C86111,SV1_C71687,C71687,full46
SV1_C86184,C86184,SV1_C71784,C71784,full46
SV1_C86185,C86185,SV1_C71785,C71785,full46
SV1_C86186,C86186,SV1_C71786,C71786,full46
SV1_C86187,C86187,SV1_C71787,C71787,full46
SV1_C86188,C86188,SV1_C71788,C71788,full46
SV1_C86189,C86189,SV1_C71789,C71789,full46
SV1_C86190,C86190,SV1_C71790,C71790,full46
SV1_C86191,C86191,SV1_C71791,C71791,full46
SV1_C86192,C86192,SV1_C71792,C71792,full46
SV1_C86193,C86193,SV1_C71793,C71793,full46
SV1_C86194,C86194,SV1_C71794,C71794,full46
SV1_C86195,C86195,SV1_C71795,C71795,full46
SV1_C86196,C86196,SV1_C71796,C71796,full46
SV1_C86197,C86197,SV1_C71797,C71797,full46
SV1_C86198,C86198,SV1_C71798,C71798,full46
SV1_C86199,C86199,SV1_C71799,C71799,full46
SV1_C86200,C86200,SV1_C71800,C71800,full46
SV1_C86201,C86201,SV1_C71801,C71801,full46
SV1_C86202,C86202,SV1_C71802,C71802,full46
SV1_C86203,C86203,SV1_C71803,C71803,full46
SV1_C86204,C86204,SV1_C71804,C71804,full46
SV1_C86205,C86205,SV1_C71805,C71805,full46
SV1_C86206,C86206,SV1_C71806,C71806,full46
SV1_C86207,C86207,SV1_C71807,C71807,full46
SV1_C86208,C86208,SV1_C71784,C71784,full46
SV1_C86209,C86209,SV1_C71785,C71785,full46
SV1_C86210,C86210,SV1_C71786,C71786,full46
SV1_C86211,C86211,SV1_C71787,C71787,full46
SV1_C86212,C86212,SV1_C71788,C71788,full46
SV1_C86213,C86213,SV1_C71789,C71789,full46
SV1_C86214,C86214,SV1_C71790,C71790,full46
SV1_C86215,C86215,SV1_C71791,C71791,full46
SV1_C86216,C86216,SV1_C71792,C71792,full46
SV1_C86217,C86217,SV1_C71793,C71793,full46
SV1_C86218,C86218,SV1_C71794,C71794,full46
SV1_C86219,C86219,SV1_C71795,C71795,full46
SV1_C86220,C86220,SV1_C71796,C71796,full46
SV1_C86221,C86221,SV1_C71797,C71797,full46
SV1_C86222,C86222,SV1_C71798,C71798,full46
SV1_C86223,C86223,SV1_C71799,C71799,full46
SV1_C86224,C86224,SV1_C71800,C71800,full46
SV1_C86225,C86225,SV1_C71801,C71801,full46
SV1_C86226,C86226,SV1_C71802,C71802,full46
SV1_C86227,C86227,SV1_C71803,C71803,full46
SV1_C86228,C86228,SV1_C71804,C71804,full46
SV1_C86229,C86229,SV1_C71805,C71805,full46
SV1_C86230,C86230,SV1_C71806,C71806,full46
SV1_C86231,C86231,SV1_C71807,C71807,full46
SV1_C86304,C86304,SV1_C71904,C71904,full46
SV1_C86305,C86305,SV1_C71905,C71905,full46
SV1_C86306,C86306,SV1_C71906,C71906,full46
SV1_C86307,C86307,SV1_C71907,C71907,full46
SV1_C86308,C86308,SV1_C71908,C71908,full46
SV1_C86309,C86309,SV1_C71909,C71909,full46
SV1_C86310,C86310,SV1_C71910,C71910,full46
SV1_C86311,C86311,SV1_C71911,C71911,full46
SV1_C86312,C86312,SV1_C71912,C71912,full46
SV1_C86313,C86313,SV1_C71913,C71913,full46
SV1_C86314,C86314,SV1_C71914,C71914,full46
SV1_C86315,C86315,SV1_C71915,C71915,full46
SV1_C86316,C86316,SV1_C71916,C71916,full46
SV1_C86317,C86317,SV1_C71917,C71917,full46
SV1_C86318,C86318,SV1_C71918,C71918,full46
SV1_C86319,C86319,SV1_C71919,C71919,full46
SV1_C86320,C86320,SV1_C71920,C71920,full46
SV1_C86321,C86321,SV1_C71921,C71921,full46
SV1_C86322,C86322,SV1_C71922,C71922,full46
SV1_C86323,C86323,SV1_C71923,C71923,full46
SV1_C86324,C86324,SV1_C71924,C71924,full46
SV1_C86325,C86325,SV1_C71925,C71925,full46
SV1_C86326,C86326,SV1_C71926,C71926,full46
SV1_C86327,C86327,SV1_C71927,C71927,full46
SV1_C86328,C86328,SV1_C71904,C71904,full46
SV1_C86329,C86329,SV1_C71905,C71905,full46
SV1_C86330,C86330,SV1_C71906,C71906,full46
SV1_C86331,C86331,SV1_C71907,C71907,full46
SV1_C86332,C86332,SV1_C71908,C71908,full46
SV1_C86333,C86333,SV1_C71909,C71909,full46
SV1_C86334,C86334,SV1_C71910,C71910,full46
SV1_C86335,C86335,SV1_C71911,C71911,full46
SV1_C86336,C86336,SV1_C71912,C71912,full46
SV1_C86337,C86337,SV1_C71913,C71913,full46
SV1_C86338,C86338,SV1_C71914,C71914,full46
SV1_C86339,C86339,SV1_C71915,C71915,full46
SV1_C86340,C86340,SV1_C71916,C71916,full46
SV1_C86341,C86341,SV1_C71917,C71917,full46
SV1_C86342,C86342,SV1_C71918,C71918,full46
SV1_C86343,C86343,SV1_C71919,C71919,full46
SV1_C86344,C86344,SV1_C71920,C71920,full46
SV1_C86345,C86345,SV1_C71921,C71921,full46
SV1_C86346,C86346,SV1_C71922,C71922,full46
SV1_C86347,C86347,SV1_C71923,C71923,full46
SV1_C86348,C86348,SV1_C71924,C71924,full46
SV1_C86349,C86349,SV1_C71925,C71925,full46
SV1_C86350,C86350,SV1_C71926,C71926,full46
SV1_C86351,C86351,SV1_C71927,C71927,full46
SV1_C93648,C93648,SV1_C93624,C93624,full46
SV1_C93649,C93649,SV1_C93625,C93625,full46
SV1_C93650,C93650,SV1_C93626,C93626,full46
SV1_C93651,C93651,SV1_C93627,C93627,full46
SV1_C93652,C93652,SV1_C93628,C93628,full46
SV1_C93653,C93653,SV1_C93629,C93629,full46
SV1_C93654,C93654,SV1_C93630,C93630,full46
SV1_C93655,C93655,SV1_C93631,C93631,full46
SV1_C93656,C93656,SV1_C93632,C93632,full46
SV1_C93657,C93657,SV1_C93633,C93633,full46
SV1_C93658,C93658,SV1_C93634,C93634,full46
SV1_C93659,C93659,SV1_C93635,C93635,full46
SV1_C93660,C93660,SV1_C93636,C93636,full46
SV1_C93661,C93661,SV1_C93637,C93637,full46
SV1_C93662,C93662,SV1_C93638,C93638,full46
SV1_C93663,C93663,SV1_C93639,C93639,full46
SV1_C93664,C93664,SV1_C93640,C93640,full46
SV1_C93665,C93665,SV1_C93641,C93641,full46
SV1_C93666,C93666,SV1_C93642,C93642,full46
SV1_C93667,C93667,SV1_C93643,C93643,full46
SV1_C93668,C93668,SV1_C93644,C93644,full46
SV1_C93669,C93669,SV1_C93645,C93645,full46
SV1_C93670,C93670,SV1_C93646,C93646,full46
SV1_C93671,C93671,SV1_C93647,C93647,full46
SV1_C93768,C93768,SV1_C93744,C93744,full46
SV1_C93769,C93769,SV1_C93745,C93745,full46
SV1_C93770,C93770,SV1_C93746,C93746,full46
SV1_C93771,C93771,SV1_C93747,C93747,full46
SV1_C93772,C93772,SV1_C93748,C93748,full46
SV1_C93773,C93773,SV1_C93749,C93749,full46
SV1_C93774,C93774,SV1_C93750,C93750,full46
SV1_C93775,C93775,SV1_C93751,C93751,full46
SV1_C93776,C93776,SV1_C93752,C93752,full46
SV1_C93777,C93777,SV1_C93753,C93753,full46
SV1_C93778,C93778,SV1_C93754,C93754,full46
SV1_C93779,C93779,SV1_C93755,C93755,full46
SV1_C93780,C93780,SV1_C93756,C93756,full46
SV1_C93781,C93781,SV1_C93757,C93757,full46
SV1_C93782,C93782,SV1_C93758,C93758,full46
SV1_C93783,C93783,SV1_C93759,C93759,full46
SV1_C93784,C93784,SV1_C93760,C93760,full46
SV1_C93785,C93785,SV1_C93761,C93761,full46
SV1_C93786,C93786,SV1_C93762,C93762,full46
SV1_C93787,C93787,SV1_C93763,C93763,full46
SV1_C93788,C93788,SV1_C93764,C93764,full46
SV1_C93789,C93789,SV1_C93765,C93765,full46
SV1_C93790,C93790,SV1_C93766,C93766,full46
SV1_C93791,C93791,SV1_C93767,C93767,full46
SV1_C93888,C93888,SV1_C93864,C93864,full46
SV1_C93889,C93889,SV1_C93865,C93865,full46
SV1_C93890,C93890,SV1_C93866,C93866,full46
SV1_C93891,C93891,SV1_C93867,C93867,full46
SV1_C93892,C93892,SV1_C93868,C93868,full46
SV1_C93893,C93893,SV1_C93869,C93869,full46
SV1_C93894,C93894,SV1_C93870,C93870,full46
SV1_C93895,C93895,SV1_C93871,C93871,full46
SV1_C93896,C93896,SV1_C93872,C93872,full46
SV1_C93897,C93897,SV1_C93873,C93873,full46
SV1_C93898,C93898,SV1_C93874,C93874,full46
SV1_C93899,C93899,SV1_C93875,C93875,full46
SV1_C93900,C93900,SV1_C93876,C93876,full46
SV1_C93901,C93901,SV1_C93877,C93877,full46
SV1_C93902,C93902,SV1_C93878,C93878,full46
SV1_C93903,C93903,SV1_C93879,C93879,full46
SV1_C93904,C93904,SV1_C93880,C93880,full46
SV1_C93905,C93905,SV1_C93881,C93881,full46
SV1_C93906,C93906,SV1_C93882,C93882,full46
SV1_C93907,C93907,SV1_C93883,C93883,full46
SV1_C93908,C93908,SV1_C93884,C93884,full46
SV1_C93909,C93909,SV1_C93885,C93885,full46
SV1_C93910,C93910,SV1_C93886,C93886,full46
SV1_C93911,C93911,SV1_C93887,C93887,full46
SV1_C94008,C94008,SV1_C93984,C93984,full46
SV1_C94009,C94009,SV1_C93985,C93985,full46
SV1_C94010,C94010,SV1_C93986,C93986,full46
SV1_C94011,C94011,SV1_C93987,C93987,full46
SV1_C94012,C94012,SV1_C93988,C93988,full46
SV1_C94013,C94013,SV1_C93989,C93989,full46
SV1_C94014,C94014,SV1_C93990,C93990,full46
SV1_C94015,C94015,SV1_C93991,C93991,full46
SV1_C94016,C94016,SV1_C93992,C93992,full46
SV1_C94017,C94017,SV1_C93993,C93993,full46
SV1_C94018,C94018,SV1_C93994,C93994,full46
SV1_C94019,C94019,SV1_C93995,C93995,full46
SV1_C94020,C94020,SV1_C93996,C93996,full46
SV1_C94021,C94021,SV1_C93997,C93997,full46
SV1_C94022,C94022,SV1_C93998,C93998,full46
SV1_C94023,C94023,SV1_C93999,C93999,full46
SV1_C94024,C94024,SV1_C94000,C94000,full46
SV1_C94025,C94025,SV1_C94001,C94001,full46
SV1_C94026,C94026,SV1_C94002,C94002,full46
SV1_C94027,C94027,SV1_C94003,C94003,full46
SV1_C94028,C94028,SV1_C94004,C94004,full46
SV1_C94029,C94029,SV1_C94005,C94005,full46
SV1_C94030,C94030,SV1_C94006,C94006,full46
SV1_C94031,C94031,SV1_C94007,C94007,full46
SV1_C94128,C94128,SV1_C94104,C94104,full46
SV1_C94129,C94129,SV1_C94105,C94105,full46
SV1_C94130,C94130,SV1_C94106,C94106,full46
SV1_C94131,C94131,SV1_C94107,C94107,full46
SV1_C94132,C94132,SV1_C94108,C94108,full46
