settings_path,tree,scenario_name,map_file1,world_size,group_movement,group1_movement,route_files,legacy_bus_refs,issues,status
scenarios/corpus_v1/04_rural/R7_SparseTinyBuffer__TP05_CriticalTTL.settings,corpus_v1,R7_SparseTinyBuffer__TP05_CriticalTTL,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R7_SparseTinyBuffer__TP06_OneToMany.settings,corpus_v1,R7_SparseTinyBuffer__TP06_OneToMany,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R7_SparseTinyBuffer__TP07_BurstWindow.settings,corpus_v1,R7_SparseTinyBuffer__TP07_BurstWindow,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R7_SparseTinyBuffer__TP08_HubTarget.settings,corpus_v1,R7_SparseTinyBuffer__TP08_HubTarget,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R7_SparseTinyBuffer__TP09_Bimodal.settings,corpus_v1,R7_SparseTinyBuffer__TP09_Bimodal,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R7_SparseTinyBuffer__TP10_Storm.settings,corpus_v1,R7_SparseTinyBuffer__TP10_Storm,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R7_SparseTinyBuffer__TP11_ManyToOne.settings,corpus_v1,R7_SparseTinyBuffer__TP11_ManyToOne,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R7_SparseTinyBuffer__TP12_GroupToGroup.settings,corpus_v1,R7_SparseTinyBuffer__TP12_GroupToGroup,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R8_IntermittentPower__TP01_Baseline.settings,corpus_v1,R8_IntermittentPower__TP01_Baseline,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R8_IntermittentPower__TP02_LowLoad.settings,corpus_v1,R8_IntermittentPower__TP02_LowLoad,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R8_IntermittentPower__TP03_ManySmall.settings,corpus_v1,R8_IntermittentPower__TP03_ManySmall,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R8_IntermittentPower__TP04_FewLarge.settings,corpus_v1,R8_IntermittentPower__TP04_FewLarge,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R8_IntermittentPower__TP05_CriticalTTL.settings,corpus_v1,R8_IntermittentPower__TP05_CriticalTTL,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R8_IntermittentPower__TP06_OneToMany.settings,corpus_v1,R8_IntermittentPower__TP06_OneToMany,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R8_IntermittentPower__TP07_BurstWindow.settings,corpus_v1,R8_IntermittentPower__TP07_BurstWindow,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R8_IntermittentPower__TP08_HubTarget.settings,corpus_v1,R8_IntermittentPower__TP08_HubTarget,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R8_IntermittentPower__TP09_Bimodal.settings,corpus_v1,R8_IntermittentPower__TP09_Bimodal,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R8_IntermittentPower__TP10_Storm.settings,corpus_v1,R8_IntermittentPower__TP10_Storm,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R8_IntermittentPower__TP11_ManyToOne.settings,corpus_v1,R8_IntermittentPower__TP11_ManyToOne,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R8_IntermittentPower__TP12_GroupToGroup.settings,corpus_v1,R8_IntermittentPower__TP12_GroupToGroup,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R9_ExtremeRange_200m__TP01_Baseline.settings,corpus_v1,R9_ExtremeRange_200m__TP01_Baseline,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R9_ExtremeRange_200m__TP02_LowLoad.settings,corpus_v1,R9_ExtremeRange_200m__TP02_LowLoad,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R9_ExtremeRange_200m__TP03_ManySmall.settings,corpus_v1,R9_ExtremeRange_200m__TP03_ManySmall,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R9_ExtremeRange_200m__TP04_FewLarge.settings,corpus_v1,R9_ExtremeRange_200m__TP04_FewLarge,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R9_ExtremeRange_200m__TP05_CriticalTTL.settings,corpus_v1,R9_ExtremeRange_200m__TP05_CriticalTTL,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R9_ExtremeRange_200m__TP06_OneToMany.settings,corpus_v1,R9_ExtremeRange_200m__TP06_OneToMany,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R9_ExtremeRange_200m__TP07_BurstWindow.settings,corpus_v1,R9_ExtremeRange_200m__TP07_BurstWindow,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R9_ExtremeRange_200m__TP08_HubTarget.settings,corpus_v1,R9_ExtremeRange_200m__TP08_HubTarget,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R9_ExtremeRange_200m__TP09_Bimodal.settings,corpus_v1,R9_ExtremeRange_200m__TP09_Bimodal,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R9_ExtremeRange_200m__TP10_Storm.settings,corpus_v1,R9_ExtremeRange_200m__TP10_Storm,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R9_ExtremeRange_200m__TP11_ManyToOne.settings,corpus_v1,R9_ExtremeRange_200m__TP11_ManyToOne,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
scenarios/corpus_v1/04_rural/R9_ExtremeRange_200m__TP12_GroupToGroup.settings,corpus_v1,R9_ExtremeRange_200m__TP12_GroupToGroup,data/NuuksioSparseTrails/roads.wkt,"2848, 2945",ShortestPathMapBasedMovement,,,0,,PASS
