settings_path,tree,scenario_name,map_file1,world_size,movement_model,end_time,has_residual_linear,route_file_in_settings,issues,status
scenarios/corpus_v1/02_campus/C5_Library_Quiet__TP05_CriticalTTL.settings,corpus_v1,C5_Library_Quiet__TP05_CriticalTTL,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C5_Library_Quiet__TP06_OneToMany.settings,corpus_v1,C5_Library_Quiet__TP06_OneToMany,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C5_Library_Quiet__TP07_BurstWindow.settings,corpus_v1,C5_Library_Quiet__TP07_BurstWindow,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C5_Library_Quiet__TP08_HubTarget.settings,corpus_v1,C5_Library_Quiet__TP08_HubTarget,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C5_Library_Quiet__TP09_Bimodal.settings,corpus_v1,C5_Library_Quiet__TP09_Bimodal,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C5_Library_Quiet__TP10_Storm.settings,corpus_v1,C5_Library_Quiet__TP10_Storm,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C5_Library_Quiet__TP11_ManyToOne.settings,corpus_v1,C5_Library_Quiet__TP11_ManyToOne,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C5_Library_Quiet__TP12_GroupToGroup.settings,corpus_v1,C5_Library_Quiet__TP12_GroupToGroup,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,43200,False,False,,PASS
scenarios/corpus_v1/02_campus/C6_EmergencyDrill_Evacuation__TP01_Baseline.settings,corpus_v1,C6_EmergencyDrill_Evacuation__TP01_Baseline,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
scenarios/corpus_v1/02_campus/C6_EmergencyDrill_Evacuation__TP02_LowLoad.settings,corpus_v1,C6_EmergencyDrill_Evacuation__TP02_LowLoad,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
scenarios/corpus_v1/02_campus/C6_EmergencyDrill_Evacuation__TP03_ManySmall.settings,corpus_v1,C6_EmergencyDrill_Evacuation__TP03_ManySmall,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
scenarios/corpus_v1/02_campus/C6_EmergencyDrill_Evacuation__TP04_FewLarge.settings,corpus_v1,C6_EmergencyDrill_Evacuation__TP04_FewLarge,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
scenarios/corpus_v1/02_campus/C6_EmergencyDrill_Evacuation__TP05_CriticalTTL.settings,corpus_v1,C6_EmergencyDrill_Evacuation__TP05_CriticalTTL,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
scenarios/corpus_v1/02_campus/C6_EmergencyDrill_Evacuation__TP06_OneToMany.settings,corpus_v1,C6_EmergencyDrill_Evacuation__TP06_OneToMany,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
scenarios/corpus_v1/02_campus/C6_EmergencyDrill_Evacuation__TP07_BurstWindow.settings,corpus_v1,C6_EmergencyDrill_Evacuation__TP07_BurstWindow,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
scenarios/corpus_v1/02_campus/C6_EmergencyDrill_Evacuation__TP08_HubTarget.settings,corpus_v1,C6_EmergencyDrill_Evacuation__TP08_HubTarget,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
scenarios/corpus_v1/02_campus/C6_EmergencyDrill_Evacuation__TP09_Bimodal.settings,corpus_v1,C6_EmergencyDrill_Evacuation__TP09_Bimodal,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
scenarios/corpus_v1/02_campus/C6_EmergencyDrill_Evacuation__TP10_Storm.settings,corpus_v1,C6_EmergencyDrill_Evacuation__TP10_Storm,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
scenarios/corpus_v1/02_campus/C6_EmergencyDrill_Evacuation__TP11_ManyToOne.settings,corpus_v1,C6_EmergencyDrill_Evacuation__TP11_ManyToOne,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
scenarios/corpus_v1/02_campus/C6_EmergencyDrill_Evacuation__TP12_GroupToGroup.settings,corpus_v1,C6_EmergencyDrill_Evacuation__TP12_GroupToGroup,data/KumpulaCampus/roads.wkt,"1524, 1416",ShortestPathMapBasedMovement,7200,False,False,,PASS
