scenario,N_hosts,contact_time_mean_s,inter_contact_time_mean_s,contact_time_per_min,total_encounters,inter_contact_time_proxy_s,betweenness_centrality,ratio_contact_nodes,popularity_top10_ratio,window_centrality_mean,encounters_top10_mean,sociability_top10_mean,availability_note,contact_hist_rows,intercontact_hist_rows,trace_nodes,scenario_end_time_s
R9_ExtremeRange_200m__TP07_BurstWindow,40,405.99470745326596,6282.309577970659,5.720833333333333,4119.0,10.487982520029133,0.049999999999999996,0.9974358974358974,1.0,13.075000000000001,234.75,0.028495994173343045,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,43200.0
R9_ExtremeRange_200m__TP08_HubTarget,40,406.19079426767127,6286.074573225506,5.718055555555556,4117.0,10.493077483604566,0.049999999999999996,0.9974358974358974,1.0,13.075000000000001,234.5,0.02847947534612582,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,43200.0
R9_ExtremeRange_200m__TP09_Bimodal,40,406.0929334628466,6284.191347305378,5.719444444444444,4118.0,10.490529383195726,0.049999999999999996,0.9974358974358974,1.0,13.075000000000001,234.5,0.028472559494900435,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,43200.0
R9_ExtremeRange_200m__TP10_Storm,40,406.0919864011662,6284.192365269449,5.719444444444444,4118.0,10.490529383195726,0.049999999999999996,0.9974358974358974,1.0,13.075000000000001,234.5,0.028472559494900435,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,43200.0
R9_ExtremeRange_200m__TP11_ManyToOne,40,406.19079426767127,6286.074573225506,5.718055555555556,4117.0,10.493077483604566,0.049999999999999996,0.9974358974358974,1.0,13.075000000000001,234.5,0.02847947534612582,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,43200.0
R9_ExtremeRange_200m__TP12_GroupToGroup,40,407.64912237932725,6285.726323706368,5.697222222222222,4102.0,10.531448074110191,0.049999999999999996,0.9974358974358974,1.0,13.0875,234.5,0.028583617747440275,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,40,43200.0
S1_StrongCommunities_LimitedMixing__TP01_Baseline,110,227.19742735318403,2728.6056124322035,38.7625,27909.0,1.5478877781360851,5.4363636363636365,0.5359466221851543,0.7464553794829025,25.099999999999998,764.6363636363636,0.013698741689712347,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,110,43200.0
S1_StrongCommunities_LimitedMixing__TP02_LowLoad,110,226.75989496559208,2799.0337350894665,38.34722222222222,27610.0,1.5646504889532777,4.7727272727272725,0.5481234361968306,0.7447873227689741,25.14772727272727,741.3636363636364,0.013425636297784071,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,110,43200.0
S1_StrongCommunities_LimitedMixing__TP03_ManySmall,110,239.32165404942245,2761.7166897337775,38.894444444444446,28004.0,1.5426367661762606,4.999999999999999,0.54395329441201,0.749791492910759,25.50454545454546,768.3636363636364,0.013718819389437871,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,110,43200.0
S1_StrongCommunities_LimitedMixing__TP04_FewLarge,110,227.2216118947231,2804.546548856552,38.205555555555556,27508.0,1.570452232077941,4.845454545454547,0.546788990825688,0.74395329441201,23.237062937062937,740.7272727272727,0.013463851838142955,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,110,43200.0
S1_StrongCommunities_LimitedMixing__TP05_CriticalTTL,110,227.19742735318403,2728.6056124322035,38.7625,27909.0,1.5478877781360851,5.4363636363636365,0.5359466221851543,0.7464553794829025,25.099999999999998,764.6363636363636,0.013698741689712347,Indirectas calculadas desde ConnectivityONEReport (traza por evento).,0,0,110,43200.0
