method,target_n,epsilon,n_selected,mean_distance_to_selected,median_distance_to_selected,p95_distance_to_selected,max_distance_to_selected,mean_pairwise_selected_distance,min_pairwise_selected_distance,archetype_coverage,source_type_coverage,anchor_coverage,min_maps_per_archetype,max_single_archetype_fraction,osm_fraction,synthetic_fraction,trace_reference_synthetic_fraction,outlier_preservation,redundancy_within_selected,constraints_satisfied,notes
stratified-kmedoids,45,,45,1.2535364361687564,1.0106749964425419,3.443219484554707,6.3967916672492935,10.261485239345728,0.5211728790469867,15,3,16,2,0.1111111111111111,0.4,0.35555555555555557,0.24444444444444444,0.16981132075471697,0.0,True,
stratified-kmedoids,60,,60,1.0455855326948338,0.8655436869704786,2.611038194042548,5.899443395781715,10.638627213434134,0.04894598017806007,15,3,17,2,0.11666666666666667,0.43333333333333335,0.3333333333333333,0.23333333333333334,0.1509433962264151,0.03333333333333333,True,
stratified-kmedoids,75,,75,0.9583108489980808,0.7885149942818759,2.462272557473575,5.672421006863205,10.22731457937638,0.037507887813350876,15,3,18,3,0.13333333333333333,0.41333333333333333,0.32,0.26666666666666666,0.16981132075471697,0.05333333333333334,False,max_single_anchor_fraction>0.1
stratified-kmedoids,90,,89,0.8432849507035798,0.6826153639672242,2.286989336007501,5.672421006863205,10.176611979976682,0.037507887813350876,15,3,18,3,0.1348314606741573,0.43820224719101125,0.30337078651685395,0.25842696629213485,0.1320754716981132,0.02247191011235955,False,max_single_anchor_fraction>0.1
stratified-kmedoids,120,,117,0.696833734128447,0.5573289131174552,1.8918978642119442,3.6777860010236925,10.349638481004796,0.037507887813350876,15,3,19,3,0.1282051282051282,0.4358974358974359,0.29914529914529914,0.26495726495726496,0.1320754716981132,0.017094017094017096,False,max_single_anchor_fraction>0.1
hybrid,30,,30,1.5359619475103616,1.1578519786371924,4.40550731988371,18.725697137842463,8.724464465450941,0.5600689296880389,15,3,14,2,0.06666666666666667,0.4666666666666667,0.36666666666666664,0.16666666666666666,0.11320754716981132,0.0,True,
hybrid,45,,45,1.2262349934517178,0.9647447197117358,3.229504428581367,7.920036477633451,9.396087443335734,0.5211728790469867,15,3,17,3,0.06666666666666667,0.4444444444444444,0.37777777777777777,0.17777777777777778,0.09433962264150944,0.0,True,
hybrid,60,,60,1.0923759400852824,0.8552737567121107,3.079425284091722,5.899443395781715,9.826111056244958,0.04894598017806007,15,3,18,3,0.1,0.43333333333333335,0.35,0.21666666666666667,0.1509433962264151,0.03333333333333333,True,
hybrid,75,,75,0.9077715186241148,0.7593945014062968,2.350206395986264,5.672421006863205,9.94615408159435,0.037507887813350876,15,3,18,3,0.10666666666666667,0.4533333333333333,0.32,0.22666666666666666,0.18867924528301888,0.05333333333333334,True,
hybrid,90,,90,0.8284058824940383,0.651859018974088,2.2478497886552145,5.159577116669609,10.135987099999362,0.037507887813350876,15,3,18,4,0.1111111111111111,0.4222222222222222,0.3333333333333333,0.24444444444444444,0.20754716981132076,0.022222222222222223,True,
hybrid,120,,120,0.6913794973372822,0.5450774875880444,1.883391647335554,3.425084794946944,10.423346629460756,0.037507887813350876,15,3,19,4,0.125,0.44166666666666665,0.3,0.25833333333333336,0.16981132075471697,0.016666666666666666,True,
epsilon-cover,,0.2,689,0.036167431242665755,4.2146848510894035e-08,0.16265889643693365,0.1999851706412069,7.829005784676263,0.20219651938023453,15,3,19,15,0.14223512336719885,0.3904208998548621,0.45863570391872277,0.1509433962264151,0.2641509433962264,0.16110304789550073,True,
epsilon-cover,,0.25,639,0.049448048456765065,5.960464477539063e-08,0.20578640042579938,0.2467992872301211,7.892423350772128,0.25078975666987935,15,3,19,15,0.14397496087636932,0.37089201877934275,0.4757433489827856,0.15336463223787167,0.24528301886792453,0.0,True,
epsilon-cover,,0.3,603,0.0601116103857816,8.429369702178807e-08,0.24503115405708015,0.2993982317253977,7.810019628482019,0.30260321284248404,15,3,19,12,0.13930348258706468,0.3582089552238806,0.4859038142620232,0.1558872305140962,0.3584905660377358,0.0,True,
epsilon-cover,,0.35,551,0.08020939263803388,1.6858739404357614e-07,0.2971799409679196,0.34854368875187824,7.9429509456293,0.35069119422037215,15,3,19,10,0.13611615245009073,0.3502722323049002,0.4882032667876588,0.16152450090744103,0.20754716981132076,0.0,True,
epsilon-cover,,0.4,500,0.10405147949082057,0.04151084500066356,0.36061008971616915,0.3992832130498293,8.034304201628311,0.4006114979724299,15,3,19,9,0.142,0.34,0.49,0.17,0.4339622641509434,0.0,True,
epsilon-cover,,0.5,433,0.1430689377660514,0.09303399884269198,0.4432431173726438,0.49976314560749163,8.293181847726808,0.5013491364798073,15,3,19,6,0.13394919168591224,0.3394919168591224,0.48036951501154734,0.18013856812933027,0.4339622641509434,0.0,True,
