scenario,delivery_ratio,latency_mean,overhead_ratio,drop_ratio
D7_HighLoad_TrafficStorm__TP09_Bimodal,0.3155686295838269,-0.6180869560895472,-0.09131300054728445,-0.11869924131066642
D7_HighLoad_TrafficStorm__TP10_Storm,-0.6678127421675828,-1.1140539063900594,-0.11687311756919205,-0.15518842390696536
D7_HighLoad_TrafficStorm__TP11_ManyToOne,-0.38430900854849875,-0.8904550895721303,0.05817697931110563,-0.1888342039557479
D7_HighLoad_TrafficStorm__TP12_GroupToGroup,0.5429400450176789,-0.6548166717227205,-0.1048085856444791,-0.1888342039557479
D8_InfrastructureReturns_BackboneLinks__TP01_Baseline,0.8015750300736854,-1.1422729332751094,-0.09084277273926762,-0.1888342039557479
D8_InfrastructureReturns_BackboneLinks__TP02_LowLoad,0.7411794978490683,-1.1326623376505862,-0.08674923675644872,-0.1888342039557479
D8_InfrastructureReturns_BackboneLinks__TP03_ManySmall,0.7223503025084526,-1.1525046900649323,-0.08535108856220207,-0.1888342039557479
D8_InfrastructureReturns_BackboneLinks__TP04_FewLarge,0.32373978982598084,-1.0651902079657298,0.8572052752962018,1.5401310829374268
D8_InfrastructureReturns_BackboneLinks__TP05_CriticalTTL,-0.8433150534555873,-1.382146933179849,-0.11497716406136015,-0.17484094371438844
D8_InfrastructureReturns_BackboneLinks__TP06_OneToMany,0.7941144055047621,-1.1409233240063805,-0.08271743678041373,-0.1600338044337919
D8_InfrastructureReturns_BackboneLinks__TP07_BurstWindow,0.8502467236899942,-1.122467003940187,-0.0882048903174205,-0.1888342039557479
D8_InfrastructureReturns_BackboneLinks__TP08_HubTarget,0.6477440568192199,-1.1378739260811161,-0.01825674110822648,-0.04886787876756617
D8_InfrastructureReturns_BackboneLinks__TP09_Bimodal,0.41930683787552187,-1.0434903998661127,0.5639924614314268,1.149759707615529
D8_InfrastructureReturns_BackboneLinks__TP10_Storm,0.5283740637164476,-1.1467417659801187,-0.09063625482824925,0.05512253277198849
D8_InfrastructureReturns_BackboneLinks__TP11_ManyToOne,0.8708522582136872,-1.1305661833615124,-0.09584793330957134,-0.1888342039557479
D8_InfrastructureReturns_BackboneLinks__TP12_GroupToGroup,-0.8870129973592807,-0.03346082297382817,-0.1433965670015253,-0.1888342039557479
D9_Critical_1minTTL__TP01_Baseline,-0.7850511282506627,0.5481051511587297,-0.14209964078794476,-0.1888342039557479
D9_Critical_1minTTL__TP02_LowLoad,-0.8120514838334326,1.8102485547863,-0.12855704857898567,-0.1888342039557479
D9_Critical_1minTTL__TP03_ManySmall,-0.7868274674337397,0.8042232106895953,-0.14146535815987007,-0.1888342039557479
D9_Critical_1minTTL__TP04_FewLarge,-0.847578267494972,2.4454274139249867,-0.05256221789316077,-0.1888342039557479
D9_Critical_1minTTL__TP05_CriticalTTL,-0.8795523727903575,-1.3725703063583865,-0.20220152367658917,-0.18081237739391556
D9_Critical_1minTTL__TP06_OneToMany,-0.7552086299749697,1.6266895037675242,-0.16150558673765347,-0.1888342039557479
D9_Critical_1minTTL__TP07_BurstWindow,-0.6852208661617372,0.31031453521495794,-0.13564540765231628,-0.1888342039557479
D9_Critical_1minTTL__TP08_HubTarget,-0.8504204101878952,1.658535168984277,0.039728411537665764,-0.1888342039557479
D9_Critical_1minTTL__TP09_Bimodal,-0.7829195212309704,0.43925598521297843,-0.1433965670015253,-0.1888342039557479
D9_Critical_1minTTL__TP10_Storm,-0.8756444265875881,-1.2102974639320112,-0.14830003552004534,-0.18049815418442364
D9_Critical_1minTTL__TP11_ManyToOne,-0.839407107252818,0.4172579285951814,-0.0451495097486556,-0.1888342039557479
D9_Critical_1minTTL__TP12_GroupToGroup,-0.7854063960872781,0.7960169196355934,-0.1354962384176505,-0.1888342039557479
R10_TinyRange_5m__TP01_Baseline,-0.8500651423512798,-0.03479550430885832,-0.1783845870492791,-0.1888342039557479
R10_TinyRange_5m__TP02_LowLoad,-0.8870129973592807,-0.03346082297382817,-0.1433965670015253,-0.1888342039557479
R10_TinyRange_5m__TP03_ManySmall,-0.862854784469434,0.8059433887189875,-0.16835640320620118,-0.1888342039557479
R10_TinyRange_5m__TP04_FewLarge,-0.8870129973592807,-0.03346082297382817,-0.1433965670015253,-0.1888342039557479
R10_TinyRange_5m__TP05_CriticalTTL,-0.8870129973592807,-0.03346082297382817,-0.1433965670015253,-0.18089457241584644
R10_TinyRange_5m__TP06_OneToMany,-0.8102751446503557,0.6647731831041215,-0.2029476832306632,-0.18820131846396976
R10_TinyRange_5m__TP07_BurstWindow,-0.847578267494972,1.1321367155980877,-0.16655446392189813,-0.1888342039557479
R10_TinyRange_5m__TP08_HubTarget,-0.839407107252818,1.5919777022505943,-0.1908715562183817,-0.1888342039557479
R10_TinyRange_5m__TP09_Bimodal,-0.8504204101878952,-0.03711807233488732,-0.18183177524533714,-0.1888342039557479
R10_TinyRange_5m__TP10_Storm,-0.8848813903395883,-1.065054197903137,-0.14579298955927586,-0.18129464971089113
R10_TinyRange_5m__TP11_ManyToOne,-0.7296293457386613,1.469704062638216,-0.2056267752204905,-0.1888342039557479
R10_TinyRange_5m__TP12_GroupToGroup,-0.8578810347568184,1.02247978257328,-0.1728220788238218,-0.1888342039557479
R11_SpeedExtremeLow__TP01_Baseline,-0.16617455686664698,1.3387539357728986,-0.17737095702926547,-0.1888342039557479
R11_SpeedExtremeLow__TP02_LowLoad,-0.47987605659803956,1.9670782842169408,-0.147502324833403,-0.1888342039557479
R11_SpeedExtremeLow__TP03_ManySmall,-0.20347767971126335,1.3619184613996518,-0.1789801671553344,-0.1888342039557479
R11_SpeedExtremeLow__TP04_FewLarge,-0.19246437677618608,1.0087100245865372,-0.1724303528924516,-0.17565027575438824
R11_SpeedExtremeLow__TP05_CriticalTTL,-0.8870129973592807,-0.03346082297382817,-0.1433965670015253,-0.18081197065914248
R11_SpeedExtremeLow__TP06_OneToMany,-0.8870129973592807,-0.03346082297382817,-0.1433965670015253,-0.18820131846396976
R11_SpeedExtremeLow__TP07_BurstWindow,0.2239095277370552,1.8141409966420727,-0.17158344142882914,-0.1888342039557479
R11_SpeedExtremeLow__TP08_HubTarget,-0.5829037292165038,0.9031771928330562,-0.1271789567524252,-0.1888342039557479
R11_SpeedExtremeLow__TP09_Bimodal,-0.24682035577834135,1.2044384161581319,-0.17777897875938073,-0.18236760110968778
R11_SpeedExtremeLow__TP10_Storm,-0.8529072850442029,-1.1693899091632012,-0.17168670038433834,-0.17964340115724164
R11_SpeedExtremeLow__TP11_ManyToOne,-0.8870129973592807,-0.03346082297382817,-0.1433965670015253,-0.1888342039557479
R11_SpeedExtremeLow__TP12_GroupToGroup,-0.26209687275280324,1.7936520772565654,-0.17197485397945428,-0.1888342039557479
R12_SpeedExtremeHigh__TP01_Baseline,2.247870392934953,-0.9285318658024257,-0.15588087243429458,-0.1888342039557479
R12_SpeedExtremeHigh__TP02_LowLoad,2.517518680926037,-1.1160270501902405,-0.15241832858172683,-0.1888342039557479
R12_SpeedExtremeHigh__TP03_ManySmall,1.7057316742598623,-0.4838307166884583,-0.19605173993482164,-0.1888342039557479
R12_SpeedExtremeHigh__TP04_FewLarge,1.2168831310770805,-0.10957541716842344,-0.19018368548289558,-0.18353390849641749
R12_SpeedExtremeHigh__TP05_CriticalTTL,-0.812406751670048,-1.3950660416763667,-0.1674162609709126,-0.17618840864024746
R12_SpeedExtremeHigh__TP06_OneToMany,1.6254411431847835,-0.45760948424749354,-0.1791000352903337,-0.18814378341926266
R12_SpeedExtremeHigh__TP07_BurstWindow,2.665665368794656,-0.658636092114192,-0.1545867666474199,-0.1888342039557479
R12_SpeedExtremeHigh__TP08_HubTarget,1.918537108392483,-0.616967415002247,-0.18030576770709128,-0.18736295066966624
