scenario_name,scenario_base,traffic_profile_id,sim_end_time_s,traffic_gen_start_s,traffic_gen_end_s,traffic_gen_fraction,traffic_gen_note,Group.msgTtl_minutes,msg_ttl_seconds,Report.warmup_s
U5_WorkdayShort_HelsinkiMedium__TP11_ManyToOne,U5_WorkdayShort_HelsinkiMedium,TP11,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U5_WorkdayShort_HelsinkiMedium__TP12_GroupToGroup,U5_WorkdayShort_HelsinkiMedium,TP12,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP01_Baseline,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP01,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP02_LowLoad,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP02,43200,0.0,43200.0,1.0,full_simulation,21600,1296000,0
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP03_ManySmall,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP03,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP04_FewLarge,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP04,43200,0.0,43200.0,1.0,full_simulation,14400,864000,0
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP05_CriticalTTL,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP05,43200,0.0,43200.0,1.0,full_simulation,15,900,0
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP06_OneToMany,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP06,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP07_BurstWindow,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP07,43200,8640,12096,0.08,burst_only,7200,432000,0
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP08_HubTarget,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP08,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP09_Bimodal,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP09,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP10_Storm,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP10,43200,0.0,43200.0,1.0,full_simulation,60,3600,0
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP11_ManyToOne,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP11,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP12_GroupToGroup,U6_OfficeWaitHeavyTail_HelsinkiMedium,TP12,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U7_HighTimeVariance_HelsinkiMedium__TP01_Baseline,U7_HighTimeVariance_HelsinkiMedium,TP01,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U7_HighTimeVariance_HelsinkiMedium__TP02_LowLoad,U7_HighTimeVariance_HelsinkiMedium,TP02,43200,0.0,43200.0,1.0,full_simulation,21600,1296000,0
U7_HighTimeVariance_HelsinkiMedium__TP03_ManySmall,U7_HighTimeVariance_HelsinkiMedium,TP03,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U7_HighTimeVariance_HelsinkiMedium__TP04_FewLarge,U7_HighTimeVariance_HelsinkiMedium,TP04,43200,0.0,43200.0,1.0,full_simulation,14400,864000,0
U7_HighTimeVariance_HelsinkiMedium__TP05_CriticalTTL,U7_HighTimeVariance_HelsinkiMedium,TP05,43200,0.0,43200.0,1.0,full_simulation,5,300,0
U7_HighTimeVariance_HelsinkiMedium__TP06_OneToMany,U7_HighTimeVariance_HelsinkiMedium,TP06,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U7_HighTimeVariance_HelsinkiMedium__TP07_BurstWindow,U7_HighTimeVariance_HelsinkiMedium,TP07,43200,8640,12096,0.08,burst_only,7200,432000,0
U7_HighTimeVariance_HelsinkiMedium__TP08_HubTarget,U7_HighTimeVariance_HelsinkiMedium,TP08,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U7_HighTimeVariance_HelsinkiMedium__TP09_Bimodal,U7_HighTimeVariance_HelsinkiMedium,TP09,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U7_HighTimeVariance_HelsinkiMedium__TP10_Storm,U7_HighTimeVariance_HelsinkiMedium,TP10,43200,0.0,43200.0,1.0,full_simulation,60,3600,0
U7_HighTimeVariance_HelsinkiMedium__TP11_ManyToOne,U7_HighTimeVariance_HelsinkiMedium,TP11,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
U7_HighTimeVariance_HelsinkiMedium__TP12_GroupToGroup,U7_HighTimeVariance_HelsinkiMedium,TP12,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C1_Campus_ClassChange__TP01_Baseline,C1_Campus_ClassChange,TP01,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C1_Campus_ClassChange__TP02_LowLoad,C1_Campus_ClassChange,TP02,43200,0.0,43200.0,1.0,full_simulation,21600,1296000,0
C1_Campus_ClassChange__TP03_ManySmall,C1_Campus_ClassChange,TP03,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C1_Campus_ClassChange__TP04_FewLarge,C1_Campus_ClassChange,TP04,43200,0.0,43200.0,1.0,full_simulation,14400,864000,0
C1_Campus_ClassChange__TP05_CriticalTTL,C1_Campus_ClassChange,TP05,43200,0.0,43200.0,1.0,full_simulation,5,300,0
C1_Campus_ClassChange__TP06_OneToMany,C1_Campus_ClassChange,TP06,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C1_Campus_ClassChange__TP07_BurstWindow,C1_Campus_ClassChange,TP07,43200,8640,12096,0.08,burst_only,7200,432000,0
C1_Campus_ClassChange__TP08_HubTarget,C1_Campus_ClassChange,TP08,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C1_Campus_ClassChange__TP09_Bimodal,C1_Campus_ClassChange,TP09,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C1_Campus_ClassChange__TP10_Storm,C1_Campus_ClassChange,TP10,43200,0.0,43200.0,1.0,full_simulation,60,3600,0
C1_Campus_ClassChange__TP11_ManyToOne,C1_Campus_ClassChange,TP11,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C1_Campus_ClassChange__TP12_GroupToGroup,C1_Campus_ClassChange,TP12,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C2_ExamDay_LongStays__TP01_Baseline,C2_ExamDay_LongStays,TP01,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C2_ExamDay_LongStays__TP02_LowLoad,C2_ExamDay_LongStays,TP02,43200,0.0,43200.0,1.0,full_simulation,21600,1296000,0
C2_ExamDay_LongStays__TP03_ManySmall,C2_ExamDay_LongStays,TP03,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
C2_ExamDay_LongStays__TP04_FewLarge,C2_ExamDay_LongStays,TP04,43200,0.0,43200.0,1.0,full_simulation,14400,864000,0
C2_ExamDay_LongStays__TP05_CriticalTTL,C2_ExamDay_LongStays,TP05,43200,0.0,43200.0,1.0,full_simulation,5,300,0
C2_ExamDay_LongStays__TP06_OneToMany,C2_ExamDay_LongStays,TP06,43200,0.0,43200.0,1.0,full_simulation,7200,432000,0
