map_id,archetype,source_type,anchor_id,validation_status,distance_to_nearest_selected,is_selected
OSM_dieselnet_amherst_offset_e_5000m_1500m_0356,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.5434342663562343,False
OSM_dieselnet_amherst_offset_e_5000m_1500m_0951,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.5467475722052819,False
OSM_dieselnet_amherst_offset_e_5000m_200m_0223,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.13118758059664307,False
OSM_dieselnet_amherst_offset_e_5000m_200m_0801,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,1.1920928955078125e-07,True
OSM_dieselnet_amherst_offset_e_5000m_500m_0083,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.5996602280314063,False
OSM_dieselnet_amherst_offset_e_5000m_500m_0660,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,0.5314430908293366,False
OSM_dieselnet_amherst_offset_e_500m_200m_0001,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,3.715754504494817,False
OSM_dieselnet_amherst_offset_e_500m_200m_0566,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,3.7233318182982518,False
OSM_dieselnet_amherst_offset_e_500m_200m_1159,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,3.595816263133528,False
OSM_dieselnet_amherst_offset_e_500m_500m_0423,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,1.652032863496233,False
OSM_dieselnet_amherst_offset_e_500m_500m_1009,bus_route_urban_suburban,osm,dieselnet_amherst,PASS,1.6263242548007157,False
OSM_helsinki_archipelago_offset_s_1000m_1000m_0056,island_or_partitioned,osm,helsinki_archipelago,PASS,2.1871221798610136,False
OSM_helsinki_archipelago_offset_s_1000m_1000m_0162,island_or_partitioned,osm,helsinki_archipelago,PASS,2.5248035734267935,False
OSM_helsinki_archipelago_offset_s_1000m_1000m_0280,island_or_partitioned,osm,helsinki_archipelago,PASS,2.148964665406762,False
OSM_helsinki_archipelago_offset_s_1000m_1000m_0387,island_or_partitioned,osm,helsinki_archipelago,PASS,2.478587000683926,False
OSM_helsinki_archipelago_offset_s_1000m_1000m_0508,island_or_partitioned,osm,helsinki_archipelago,PASS,2.228123751725914,False
OSM_helsinki_archipelago_offset_s_1000m_1000m_0633,island_or_partitioned,osm,helsinki_archipelago,PASS,2.3265542566147195,False
OSM_helsinki_archipelago_offset_s_1000m_1000m_0742,island_or_partitioned,osm,helsinki_archipelago,PASS,2.4392829338721507,False
OSM_helsinki_archipelago_offset_s_1000m_1000m_0872,island_or_partitioned,osm,helsinki_archipelago,PASS,2.244904904021945,False
OSM_helsinki_archipelago_offset_s_1000m_1000m_0984,island_or_partitioned,osm,helsinki_archipelago,PASS,2.3550402948021563,False
OSM_helsinki_archipelago_offset_s_1000m_1000m_1096,island_or_partitioned,osm,helsinki_archipelago,PASS,2.417334098668067,False
OSM_helsinki_archipelago_offset_s_1000m_1500m_0085,island_or_partitioned,osm,helsinki_archipelago,PASS,0.14480399661088308,False
OSM_helsinki_archipelago_offset_s_1000m_1500m_0193,island_or_partitioned,osm,helsinki_archipelago,PASS,2.0671683519361275,False
OSM_helsinki_archipelago_offset_s_1000m_1500m_0309,island_or_partitioned,osm,helsinki_archipelago,PASS,0.9564374383781469,False
OSM_helsinki_archipelago_offset_s_1000m_1500m_0426,island_or_partitioned,osm,helsinki_archipelago,PASS,0.0501871186882747,False
OSM_helsinki_archipelago_offset_s_1000m_1500m_0538,island_or_partitioned,osm,helsinki_archipelago,PASS,8.429369702178807e-08,True
OSM_helsinki_archipelago_offset_s_1000m_1500m_0661,island_or_partitioned,osm,helsinki_archipelago,PASS,0.38141497938235325,False
OSM_helsinki_archipelago_offset_s_1000m_1500m_0776,island_or_partitioned,osm,helsinki_archipelago,PASS,0.4733354923659032,False
OSM_helsinki_archipelago_offset_s_1000m_1500m_0897,island_or_partitioned,osm,helsinki_archipelago,PASS,0.5404828946128727,False
OSM_helsinki_archipelago_offset_s_1000m_1500m_1010,island_or_partitioned,osm,helsinki_archipelago,PASS,0.04082869468184482,False
OSM_helsinki_archipelago_offset_s_1000m_1500m_1130,island_or_partitioned,osm,helsinki_archipelago,PASS,0.9865043562458135,False
