scenario,cluster
V5_CarOwnership_100_HelsinkiMedium__TP05_CriticalTTL,7
V5_CarOwnership_100_HelsinkiMedium__TP06_OneToMany,7
V5_CarOwnership_100_HelsinkiMedium__TP07_BurstWindow,7
V5_CarOwnership_100_HelsinkiMedium__TP08_HubTarget,7
V5_CarOwnership_100_HelsinkiMedium__TP09_Bimodal,7
V5_CarOwnership_100_HelsinkiMedium__TP10_Storm,7
V5_CarOwnership_100_HelsinkiMedium__TP11_ManyToOne,7
V5_CarOwnership_100_HelsinkiMedium__TP12_GroupToGroup,7
R10_TinyRange_5m__TP01_Baseline,5
R10_TinyRange_5m__TP02_LowLoad,4
R10_TinyRange_5m__TP03_ManySmall,5
R10_TinyRange_5m__TP04_FewLarge,4
R10_TinyRange_5m__TP05_CriticalTTL,5
R10_TinyRange_5m__TP06_OneToMany,5
R10_TinyRange_5m__TP07_BurstWindow,5
R10_TinyRange_5m__TP08_HubTarget,5
R10_TinyRange_5m__TP09_Bimodal,5
R10_TinyRange_5m__TP10_Storm,5
R10_TinyRange_5m__TP11_ManyToOne,5
R10_TinyRange_5m__TP12_GroupToGroup,5
R11_SpeedExtremeLow__TP01_Baseline,5
R11_SpeedExtremeLow__TP02_LowLoad,4
R11_SpeedExtremeLow__TP03_ManySmall,5
R11_SpeedExtremeLow__TP04_FewLarge,4
R11_SpeedExtremeLow__TP05_CriticalTTL,5
R11_SpeedExtremeLow__TP06_OneToMany,5
R11_SpeedExtremeLow__TP07_BurstWindow,5
R11_SpeedExtremeLow__TP08_HubTarget,5
R11_SpeedExtremeLow__TP09_Bimodal,5
R11_SpeedExtremeLow__TP10_Storm,5
R11_SpeedExtremeLow__TP11_ManyToOne,5
R11_SpeedExtremeLow__TP12_GroupToGroup,5
R12_SpeedExtremeHigh__TP01_Baseline,5
R12_SpeedExtremeHigh__TP02_LowLoad,4
R12_SpeedExtremeHigh__TP03_ManySmall,5
R12_SpeedExtremeHigh__TP04_FewLarge,4
R12_SpeedExtremeHigh__TP05_CriticalTTL,5
R12_SpeedExtremeHigh__TP06_OneToMany,5
R12_SpeedExtremeHigh__TP07_BurstWindow,5
R12_SpeedExtremeHigh__TP08_HubTarget,5
R12_SpeedExtremeHigh__TP09_Bimodal,5
R12_SpeedExtremeHigh__TP10_Storm,5
R12_SpeedExtremeHigh__TP11_ManyToOne,5
R12_SpeedExtremeHigh__TP12_GroupToGroup,5
R1_Rural_RandomWaypoint__TP01_Baseline,5
R1_Rural_RandomWaypoint__TP02_LowLoad,5
R1_Rural_RandomWaypoint__TP03_ManySmall,5
R1_Rural_RandomWaypoint__TP04_FewLarge,5
R1_Rural_RandomWaypoint__TP05_CriticalTTL,5
R1_Rural_RandomWaypoint__TP06_OneToMany,5
R1_Rural_RandomWaypoint__TP07_BurstWindow,5
R1_Rural_RandomWaypoint__TP08_HubTarget,5
R1_Rural_RandomWaypoint__TP09_Bimodal,5
R1_Rural_RandomWaypoint__TP10_Storm,5
R1_Rural_RandomWaypoint__TP11_ManyToOne,5
R1_Rural_RandomWaypoint__TP12_GroupToGroup,5
R2_VillagesTrails_ThreeClusters__TP01_Baseline,1
R2_VillagesTrails_ThreeClusters__TP02_LowLoad,1
R2_VillagesTrails_ThreeClusters__TP03_ManySmall,1
R2_VillagesTrails_ThreeClusters__TP04_FewLarge,1
R2_VillagesTrails_ThreeClusters__TP05_CriticalTTL,1
R2_VillagesTrails_ThreeClusters__TP06_OneToMany,1
R2_VillagesTrails_ThreeClusters__TP07_BurstWindow,1
R2_VillagesTrails_ThreeClusters__TP08_HubTarget,1
R2_VillagesTrails_ThreeClusters__TP09_Bimodal,1
R2_VillagesTrails_ThreeClusters__TP10_Storm,1
R2_VillagesTrails_ThreeClusters__TP11_ManyToOne,1
R2_VillagesTrails_ThreeClusters__TP12_GroupToGroup,1
R3_WildlifeTracking__TP01_Baseline,5
R3_WildlifeTracking__TP02_LowLoad,4
R3_WildlifeTracking__TP03_ManySmall,5
R3_WildlifeTracking__TP04_FewLarge,4
R3_WildlifeTracking__TP05_CriticalTTL,5
R3_WildlifeTracking__TP06_OneToMany,5
R3_WildlifeTracking__TP07_BurstWindow,5
R3_WildlifeTracking__TP08_HubTarget,5
R3_WildlifeTracking__TP09_Bimodal,5
R3_WildlifeTracking__TP10_Storm,5
R3_WildlifeTracking__TP11_ManyToOne,5
R3_WildlifeTracking__TP12_GroupToGroup,5
R4_ParkRangers_HelsinkiMedium__TP01_Baseline,2
R4_ParkRangers_HelsinkiMedium__TP02_LowLoad,2
R4_ParkRangers_HelsinkiMedium__TP03_ManySmall,2
R4_ParkRangers_HelsinkiMedium__TP04_FewLarge,2
R4_ParkRangers_HelsinkiMedium__TP05_CriticalTTL,2
R4_ParkRangers_HelsinkiMedium__TP06_OneToMany,2
R4_ParkRangers_HelsinkiMedium__TP07_BurstWindow,2
R4_ParkRangers_HelsinkiMedium__TP08_HubTarget,2
R4_ParkRangers_HelsinkiMedium__TP09_Bimodal,2
R4_ParkRangers_HelsinkiMedium__TP10_Storm,2
R4_ParkRangers_HelsinkiMedium__TP11_ManyToOne,2
R4_ParkRangers_HelsinkiMedium__TP12_GroupToGroup,2
R5_MountainRescue__TP01_Baseline,5
R5_MountainRescue__TP02_LowLoad,4
R5_MountainRescue__TP03_ManySmall,5
R5_MountainRescue__TP04_FewLarge,4
R5_MountainRescue__TP05_CriticalTTL,5
R5_MountainRescue__TP06_OneToMany,5
R5_MountainRescue__TP07_BurstWindow,5
R5_MountainRescue__TP08_HubTarget,5
R5_MountainRescue__TP09_Bimodal,5
R5_MountainRescue__TP10_Storm,5
R5_MountainRescue__TP11_ManyToOne,5
R5_MountainRescue__TP12_GroupToGroup,5
