scenario,family,scenario_base,tp,map_dataset,movement_models,n_hosts,delivery_ratio,overhead_ratio,drop_ratio,total_encounters,coverage_world_ratio,coverage_accessible_ratio,delivery_std_by_base,problem_flags,priority,recommended_action_hint
U2_SparseUrban_HelsinkiDowntown__TP09_Bimodal,01_urban,U2_SparseUrban_HelsinkiDowntown,TP09,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,36,0.2674,118.6753,26.022569444444443,692.0,0.18,1.0,0.17061172004042252,EXTREME_OVERHEAD|MAP_UNDERUSED|MAP_TOO_LARGE,P0,change_map_or_worldSize
U2_SparseUrban_HelsinkiDowntown__TP10_Storm,01_urban,U2_SparseUrban_HelsinkiDowntown,TP10,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,36,0.0822,52.917,5.236192332683561,684.0,0.1696,1.0,0.17061172004042252,MAP_UNDERUSED|MAP_TOO_LARGE,P1,change_map_or_worldSize
U2_SparseUrban_HelsinkiDowntown__TP11_ManyToOne,01_urban,U2_SparseUrban_HelsinkiDowntown,TP11,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,36,0.5619,13.0569,0.0,692.0,0.18,1.0,0.17061172004042252,MAP_UNDERUSED|MAP_TOO_LARGE,P1,change_map_or_worldSize
U2_SparseUrban_HelsinkiDowntown__TP12_GroupToGroup,01_urban,U2_SparseUrban_HelsinkiDowntown,TP12,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,36,0.5051,34.1093,0.0020449897750511,692.0,0.18,1.0,0.17061172004042252,MAP_UNDERUSED|MAP_TOO_LARGE,P1,change_map_or_worldSize
U3_MicroMobility_HelsinkiDowntown__TP01_Baseline,01_urban,U3_MicroMobility_HelsinkiDowntown,TP01,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,151,0.1143,6331.0727,719.5135135135135,10264.0,0.31079999999999997,1.0,0.19025984783177372,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U3_MicroMobility_HelsinkiDowntown__TP02_LowLoad,01_urban,U3_MicroMobility_HelsinkiDowntown,TP02,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,151,0.4316,8144.4634,3469.9473684210525,10267.0,0.30760000000000004,1.0,0.19025984783177372,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U3_MicroMobility_HelsinkiDowntown__TP03_ManySmall,01_urban,U3_MicroMobility_HelsinkiDowntown,TP03,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,151,0.3193,896.8057,267.46059782608694,10420.0,0.302,1.0,0.19025984783177372,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U3_MicroMobility_HelsinkiDowntown__TP04_FewLarge,01_urban,U3_MicroMobility_HelsinkiDowntown,TP04,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,151,0.0989,2113.6667,208.7967032967033,10532.0,0.3104,1.0,0.19025984783177372,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U3_MicroMobility_HelsinkiDowntown__TP05_CriticalTTL,01_urban,U3_MicroMobility_HelsinkiDowntown,TP05,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,151,0.0042,342.5,2.415800415800416,10264.0,0.31079999999999997,1.0,0.19025984783177372,EXTREME_OVERHEAD|MAP_TOO_LARGE,P0,change_map_or_worldSize
U3_MicroMobility_HelsinkiDowntown__TP06_OneToMany,01_urban,U3_MicroMobility_HelsinkiDowntown,TP06,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,151,0.5619,1084.011,604.2257731958763,9994.0,0.3044,1.0,0.19025984783177372,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U3_MicroMobility_HelsinkiDowntown__TP07_BurstWindow,01_urban,U3_MicroMobility_HelsinkiDowntown,TP07,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,151,0.2283,3464.9643,784.616847826087,10080.0,0.312,1.0,0.19025984783177372,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
U3_MicroMobility_HelsinkiDowntown__TP08_HubTarget,01_urban,U3_MicroMobility_HelsinkiDowntown,TP08,HelsinkiMedium,G1:BusMovement|G2:WorkingDayMovement,151,0.1216,4055.2119,491.4422680412371,9994.0,0.3044,1.0,0.19025984783177372,EXTREME_OVERHEAD|EXTREME_DROPS|MAP_TOO_LARGE,P0,change_map_or_worldSize
