map_id,batch_target,source_type,anchor_id,archetype,generator_type,validation_status,n_nodes,n_edges,n_components,largest_component_ratio,total_road_length_m,world_size_x,world_size_y,diameter,avg_path_length,clustering_coefficient,orientation_entropy,gridness_score,corridor_score,radial_score,partition_score,community_score
OSM_helsinki_disrupted_offset_w_1000m_200m_0115,200,osm,helsinki_disrupted,industrial_disrupted,,PASS,4111,4855,1,1.0,111300.75,1059,1071,0,0,0,4.6744,0.3217,1.7309,0.5363,0.0,0.9182
OSM_helsinki_disrupted_offset_w_1000m_200m_0225,400,osm,helsinki_disrupted,industrial_disrupted,,PASS,4111,4855,1,1.0,111300.75,1059,1071,0,0,0,4.6744,0.3217,1.7309,0.5363,0.0,0.9182
OSM_helsinki_disrupted_offset_w_1000m_200m_0332,400,osm,helsinki_disrupted,industrial_disrupted,,PASS,4111,4855,1,1.0,111300.75,1059,1071,0,0,0,4.6744,0.3217,1.7309,0.5363,0.0,0.9182
OSM_helsinki_disrupted_offset_w_1000m_200m_0456,600,osm,helsinki_disrupted,industrial_disrupted,,PASS,4111,4855,1,1.0,111300.75,1059,1071,0,0,0,4.6744,0.3217,1.7309,0.5363,0.0,0.9182
OSM_helsinki_disrupted_offset_w_1000m_200m_0576,600,osm,helsinki_disrupted,industrial_disrupted,,PASS,4111,4855,1,1.0,111300.75,1059,1071,0,0,0,4.6744,0.3217,1.7309,0.5363,0.0,0.9182
OSM_helsinki_disrupted_offset_w_1000m_200m_0691,800,osm,helsinki_disrupted,industrial_disrupted,,PASS,4111,4855,1,1.0,111300.75,1059,1071,0,0,0,4.6744,0.3217,1.7309,0.5363,0.0,0.9182
OSM_helsinki_disrupted_offset_w_1000m_500m_0031,100,osm,helsinki_disrupted,industrial_disrupted,,PASS,4707,5506,1,1.0,113536.27,1101,1074,0,0,0,4.7683,0.2613,1.5525,0.6572,0.0,0.9297
OSM_helsinki_disrupted_offset_w_1000m_500m_0142,200,osm,helsinki_disrupted,industrial_disrupted,,PASS,4707,5506,1,1.0,113536.27,1101,1074,0,0,0,4.7683,0.2613,1.5525,0.6572,0.0,0.9297
OSM_helsinki_disrupted_offset_w_1000m_500m_0253,400,osm,helsinki_disrupted,industrial_disrupted,,PASS,4707,5506,1,1.0,113536.27,1101,1074,0,0,0,4.7683,0.2613,1.5525,0.6572,0.0,0.9297
OSM_helsinki_disrupted_offset_w_1000m_500m_0358,400,osm,helsinki_disrupted,industrial_disrupted,,PASS,4707,5506,1,1.0,113536.27,1101,1074,0,0,0,4.7683,0.2613,1.5525,0.6572,0.0,0.9297
OSM_helsinki_disrupted_offset_w_1000m_500m_0486,600,osm,helsinki_disrupted,industrial_disrupted,,PASS,4707,5506,1,1.0,113536.27,1101,1074,0,0,0,4.7683,0.2613,1.5525,0.6572,0.0,0.9297
OSM_helsinki_disrupted_offset_w_1000m_500m_0603,800,osm,helsinki_disrupted,industrial_disrupted,,PASS,4707,5506,1,1.0,113536.27,1101,1074,0,0,0,4.7683,0.2613,1.5525,0.6572,0.0,0.9297
OSM_helsinki_disrupted_offset_w_1000m_500m_0715,800,osm,helsinki_disrupted,industrial_disrupted,,PASS,4707,5506,1,1.0,113536.27,1101,1074,0,0,0,4.7683,0.2613,1.5525,0.6572,0.0,0.9297
OSM_helsinki_downtown_exact_1000m_0m_0006,100,osm,helsinki_downtown,dense_urban_irregular,,PASS,881,922,1,1.0,14027.38,1073,1033,0,0,0,4.6013,0.4181,1.6074,0.5084,0.0,0.9046
OSM_helsinki_downtown_exact_1000m_0m_0117,200,osm,helsinki_downtown,dense_urban_irregular,,PASS,881,922,1,1.0,14027.38,1073,1033,0,0,0,4.6013,0.4181,1.6074,0.5084,0.0,0.9046
OSM_helsinki_downtown_exact_1000m_0m_0229,400,osm,helsinki_downtown,dense_urban_irregular,,PASS,881,922,1,1.0,14027.38,1073,1033,0,0,0,4.6013,0.4181,1.6074,0.5084,0.0,0.9046
OSM_helsinki_downtown_exact_1000m_0m_0336,400,osm,helsinki_downtown,dense_urban_irregular,,PASS,881,922,1,1.0,14027.38,1073,1033,0,0,0,4.6013,0.4181,1.6074,0.5084,0.0,0.9046
OSM_helsinki_downtown_exact_1000m_0m_0457,600,osm,helsinki_downtown,dense_urban_irregular,,PASS,881,922,1,1.0,14027.38,1073,1033,0,0,0,4.6013,0.4181,1.6074,0.5084,0.0,0.9046
OSM_helsinki_downtown_exact_1000m_0m_0579,600,osm,helsinki_downtown,dense_urban_irregular,,PASS,881,922,1,1.0,14027.38,1073,1033,0,0,0,4.6013,0.4181,1.6074,0.5084,0.0,0.9046
OSM_helsinki_downtown_exact_1000m_0m_0697,800,osm,helsinki_downtown,dense_urban_irregular,,PASS,881,922,1,1.0,14027.38,1073,1033,0,0,0,4.6013,0.4181,1.6074,0.5084,0.0,0.9046
OSM_helsinki_downtown_exact_1500m_0m_0090,100,osm,helsinki_downtown,dense_urban_irregular,,PASS,2494,2615,1,1.0,44930.92,1554,1547,0,0,0,4.4173,0.4657,1.4034,0.5754,0.0,0.9296
