scenario,family,end_time,coverage_total,time_to_50pct,time_to_80pct,time_to_90pct,total_encounters,delivery_ratio,recommended_warmup,recommended_cutoff,recommended_useful_window,decision,justification
R4_ParkRangers_NuuksioSparseTrails__TP08_HubTarget,04_rural,43200,0.0788,,,,30.0,0.9082,2160.0,38880.0,"[2160,38880]",review_worldSize,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R4_ParkRangers_NuuksioSparseTrails__TP09_Bimodal,04_rural,43200,0.0788,,,,30.0,0.6166,2160.0,38880.0,"[2160,38880]",review_worldSize,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R4_ParkRangers_NuuksioSparseTrails__TP10_Storm,04_rural,43200,0.0788,,,,30.0,0.1174,2160.0,38880.0,"[2160,38880]",review_worldSize,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R4_ParkRangers_NuuksioSparseTrails__TP11_ManyToOne,04_rural,43200,0.0788,,,,30.0,0.7938,2160.0,38880.0,"[2160,38880]",review_worldSize,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R4_ParkRangers_NuuksioSparseTrails__TP12_GroupToGroup,04_rural,43200,0.0788,,,,29.0,0.9407,2160.0,38880.0,"[2160,38880]",review_worldSize,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R5_MountainRescue__TP01_Baseline,04_rural,14400,0.1564,,,,314.0,0.7578,720.0,12960.0,"[720,12960]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R5_MountainRescue__TP02_LowLoad,04_rural,14400,0.1564,,,,314.0,0.7879,720.0,12960.0,"[720,12960]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R5_MountainRescue__TP03_ManySmall,04_rural,14400,0.1564,,,,314.0,0.7401,720.0,12960.0,"[720,12960]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R5_MountainRescue__TP04_FewLarge,04_rural,14400,0.1564,,,,314.0,0.6724,720.0,12960.0,"[720,12960]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R5_MountainRescue__TP05_CriticalTTL,04_rural,14400,0.1564,,,,314.0,0.0186,720.0,12960.0,"[720,12960]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R5_MountainRescue__TP06_OneToMany,04_rural,14400,0.1564,,,,314.0,0.7723,720.0,12960.0,"[720,12960]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R5_MountainRescue__TP07_BurstWindow,04_rural,14400,0.1564,,,,314.0,1.0,720.0,12960.0,"[720,12960]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R5_MountainRescue__TP08_HubTarget,04_rural,14400,0.1564,,,,314.0,0.7385,720.0,12960.0,"[720,12960]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R5_MountainRescue__TP09_Bimodal,04_rural,14400,0.1564,,,,314.0,0.6477,720.0,12960.0,"[720,12960]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R5_MountainRescue__TP10_Storm,04_rural,14400,0.1564,,,,314.0,0.3618,720.0,12960.0,"[720,12960]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R5_MountainRescue__TP11_ManyToOne,04_rural,14400,0.1564,,,,314.0,0.7077,720.0,12960.0,"[720,12960]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R5_MountainRescue__TP12_GroupToGroup,04_rural,14400,0.1564,,,,314.0,0.7421,720.0,12960.0,"[720,12960]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R6_SparseLongRange__TP01_Baseline,04_rural,43200,0.1696,,,,435.0,0.9155,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R6_SparseLongRange__TP02_LowLoad,04_rural,43200,0.1696,,,,435.0,0.9063,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R6_SparseLongRange__TP03_ManySmall,04_rural,43200,0.1696,,,,435.0,0.9144,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
R6_SparseLongRange__TP04_FewLarge,04_rural,43200,0.1696,,,,435.0,0.6429,2160.0,38880.0,"[2160,38880]",keep_endTime,"Default 5% warmup, 90% cutoff; see useful_simulation_time_metrics"
