map_id,validation_status,reason,source_type,archetype
OSM_kallio_community_offset_n_2500m_1000m_1288,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_2500m_1000m_1890,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_2500m_1500m_1753,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_2500m_200m_1574,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_2500m_500m_1438,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_5000m_1000m_1495,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_5000m_1500m_1350,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_5000m_1500m_1943,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_5000m_200m_1203,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_5000m_200m_1803,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_5000m_500m_1668,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_500m_1000m_1265,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_500m_1000m_1862,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_500m_1500m_1723,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_500m_200m_1547,FAIL,osm_download_failed,osm,compact_residential
OSM_kallio_community_offset_n_500m_500m_1407,FAIL,osm_download_failed,osm,compact_residential
OSM_kumpula_campus_offset_e_1000m_1000m_1241,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_1000m_1351,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_1000m_1467,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_1000m_1578,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_1000m_1725,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_1000m_1834,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_1000m_1945,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_1500m_1266,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_1500m_1386,FAIL,osm_download_failed,osm,campus_compact
OSM_kumpula_campus_offset_e_1000m_1500m_1499,FAIL,osm_download_failed,osm,campus_compact
