,U11_OfficeWaitHeavyTail_HelsinkiMedium,U12_HighTimeVariance_HelsinkiMedium,U1_CBD_Commuting_HelsinkiMedium,U5_SparseSuburb_HelsinkiMedium,U7_MicroMobility_HelsinkiMedium,U8_CongestionHotspot_HelsinkiMedium,U9_WorkdayShort_HelsinkiMedium,C1_Campus_ClassChange,C2_ExamDay_LongStays,C3_Hackathon_24h,C4_Stadium_IngressEgress,C7_Library_Quiet,C8_EmergencyDrill_Evacuation,V1_TaxiLow_HelsinkiMedium,V2_TaxiHigh_HelsinkiMedium,V3_BusOnlyCarriers_HelsinkiMedium,V6_CarOwnership_0_HelsinkiMedium,V7_CarOwnership_100_HelsinkiMedium,R10_TinyRange_5m,R11_SpeedExtremeLow,R12_SpeedExtremeHigh,R1_Rural_RandomWaypoint,R2_VillagesTrails_ThreeClusters,R3_WildlifeTracking,R4_ParkRangers_HelsinkiMedium,R5_MountainRescue,R6_SparseLongRange,R7_SparseTinyBuffer,R8_IntermittentPower,R9_ExtremeRange_200m,D1_ShelterHotspots_Clusters,D2_PartitionedCity_MuleBridge,D3_Aftershock_ErraticMobility,D4_MedicalTriage_TwoClasses,D5_UAVMule_FastRoute_HelsinkiMedium,D6_ShortTtlCritical_5to10min,D7_HighLoad_TrafficStorm,D8_InfrastructureReturns_BackboneLinks,D9_Critical_1minTTL,S1_StrongCommunities_SeparateClusters,S2_WeakCommunities_HighMixing,S3_PeriodicMeetings_RegularRhythm,S4_RandomMixing_NoHotspots,S5_TwoLayer_StudentsStaff,S6_FamilyGroups_SmallPersistent,T10_HighRateLowSpeed_Congestion,T11_TTL_1min,T12_TTL_Infinite_Buffer200M,T13_Buffer_256k,T14_Buffer_200M,T15_TransmitSpeed_256k,T1_ManySmallMsgs_HighRate,T2_FewHugeMsgs_LowRate,T3_MixedBimodal_SmallAndLarge,T4_VeryShortTtl_5to10min,T5_VeryLongTtl_6to24h,T6_UniformSources_RandomFromTo,T7_TargetedToHubs_FewDestinations,T8_BurstTraffic_TimeWindows,T9_BufferStress_SmallBufferHighTraffic
C4_Stadium_IngressEgress,-0.21619978952122923,-0.2185051886563105,-0.19565314783420407,-0.3355165985575679,-0.0588930894659839,-0.1225957482784252,-0.13457828014828685,-0.04136269156479547,0.052649209919782544,-0.014591002894776535,1.0,0.007336514808569855,-0.014057474801987916,-0.22290152198567603,-0.16060053399409177,-0.2531717862446769,-0.1628531498663303,-0.23112933841697406,-0.027025780997694846,-0.19767771853151275,-0.0354664555396436,-0.227915966733952,-0.14428980512490644,-0.19908362647856237,-0.17088048066779962,0.019856202286333648,-0.2248329593558534,-0.03670067830928194,0.0024937489391846515,-0.06203480999699605,-0.03195907473547069,-0.022058938503284952,0.03509804109242324,0.22589489835322357,-0.12828594229360607,0.14650816785702617,0.16375483271489752,0.23256561111251106,0.09919555028186947,-0.0640194179357174,0.2077061823409945,0.1809922750371338,0.10589778472088486,0.09586292119378864,-0.14416114222743898,-0.04564731323520086,0.14141884239086538,-0.03836359554176496,0.08442074676395807,0.00017832600789287806,-0.08153443359786694,0.16049422243125572,-0.060801927887714796,0.4832974099112509,0.1159034462019077,0.03505875794734705,0.09365844093834626,-0.050950801448640025,0.9256747319794898,0.09744764587131043
C7_Library_Quiet,-0.3953021485453857,-0.3717515685258832,-0.4647320721884803,-0.4988439346105943,-0.3511455839116319,-0.40854934863928366,-0.3622526977195457,0.04739447180095867,0.8296642332335452,0.8808972579341232,0.007336514808569855,1.0,-0.0467754835074255,-0.18975723880009662,-0.24007399276304373,-0.33103272315687526,-0.3992258332166694,-0.3610720904153868,0.4123186904928805,0.27542926773475923,-0.06223799482226246,-0.17879193853404937,0.0382704005110359,0.6029718135029598,-0.08994697255854966,-0.013113324347780602,0.042002130219217365,-0.014283848764869211,0.36327877212068915,0.03600697744857083,-0.0632897146759036,-0.09705359528705747,0.4050538604236914,-0.03477122812585049,-0.21568340146193743,0.017985999328607293,0.051832415410617665,-0.20218728429011107,0.0689650923250814,-0.21944262696243963,0.1315078793518454,0.30644482627529396,0.20402851431164776,0.08252820460232732,-0.01767578545316548,0.1641466616433591,0.17914804926985,0.20327094782287464,0.08128425639077495,0.1693717011744929,0.2957112185124968,0.19227684947644988,0.06808790693831689,0.07239611565540938,0.17481331033713693,0.3174245931747047,0.28118475927717973,0.06299538336283053,0.029632753923443587,0.1943380453800116
C8_EmergencyDrill_Evacuation,-0.0013613344731371621,-0.01532703472242072,0.0022789520450757937,-0.11404631910323991,0.04788358272499616,0.021201593899101603,0.0008032492133080236,-0.025793430610839673,-0.06568892492216745,-0.08375374911663264,-0.014057474801987916,-0.0467754835074255,1.0,-0.01639681482694357,0.026785249555138696,-0.02817435204125579,0.03135566260324479,-0.010644276769471014,-0.08368576457136259,-0.19466739948528303,0.03498434257767704,-0.1930407425579787,0.011836830377102835,-0.18472729897560208,-0.02389706124657971,-0.13994944708877083,-0.1319380260422146,-0.16639876576087134,-0.02796790589836046,-0.043843496263193005,-0.01996856844206855,-0.023191356332399403,-0.10670515668179152,-0.07922573360873399,0.030048236727982867,-0.042111084633128945,0.09427214993329486,0.029496205516507668,-0.10121644931540291,0.07457298381578267,0.15234946551832265,-0.026605695225757318,0.02541207144422748,0.06711449964680155,-0.041198691621526284,0.005900682879217858,-0.0539478664582422,-0.005663686613981592,-0.1088255842309835,-0.019861022566417724,-0.007116010871118003,0.03615405117072481,-0.05997902928168666,-0.047114530463914076,-0.07070101066507099,-0.09914290489664164,0.013274090349074369,-0.037885015700282944,-0.08130408303361972,0.024103020581803924
V1_TaxiLow_HelsinkiMedium,0.11679683940693432,0.1441768364470654,0.03874791020326152,0.2550900046377634,-0.08481161663320418,-0.06454352838229027,0.03781931369835836,-0.13359996859212614,-0.34055736884512855,-0.27027625990997495,-0.22290152198567603,-0.18975723880009662,-0.01639681482694357,1.0,0.8829507956408703,0.38934063363404525,0.0634566580561255,0.10716470865750673,-0.20839693968926162,-0.053983968315681516,0.32413886347383614,0.05865054453214905,0.0668893429652837,-0.08984067115981774,0.7795185843936653,-0.23816067439822017,0.19056018944107858,-0.10994434001050381,0.011119708954042686,-0.07809432928972285,-0.25698050145163004,-0.26245149415317726,-0.3132177832080691,-0.14831440276614458,0.6775313755140877,-0.4147366035405043,-0.2526713983524307,-0.1793470723123359,-0.3956634532680658,-0.19985592372355315,-0.3352963600956084,-0.4628338496389642,-0.30372226220555637,-0.3329496707904185,-0.05961178598694585,0.2071314248975661,-0.18037843358705372,-0.13643106221898435,-0.23960126608884075,-0.2143982158577403,0.29654822286865945,-0.21612877596900382,-0.05734418884003492,-0.12409996753995445,-0.24090284403361065,-0.23071259777638217,-0.2920671274992739,-0.07716844166861715,-0.08440457326518731,-0.05809405609140416
V2_TaxiHigh_HelsinkiMedium,0.13262592917873342,0.10399459052579892,0.1615371102140942,0.1846963333232431,-0.017312361649636652,0.1392094884687307,0.10260634459265734,-0.12852411952548504,-0.2953788526759208,-0.21250504862402333,-0.16060053399409177,-0.24007399276304373,0.026785249555138696,0.8829507956408703,1.0,0.3948589290531979,0.15572346382105456,0.12923717055249953,-0.21766763625867885,-0.19607678098869996,0.5144301619014043,-0.10051080085471611,0.014399864567338147,-0.20829104883015717,0.750167381430551,-0.22500543399544373,-0.08386538922675124,-0.24828853375289944,-0.13400376244021903,-0.05939114267908171,-0.23255534841124065,-0.20140432427734142,-0.2627310570442082,-0.16342762535710045,0.6909477225473638,-0.29296585901957767,-0.17299081641983022,-0.11780777955377804,-0.2813810263123701,-0.14726185567426095,-0.1499588952303939,-0.27136092059001476,-0.2581692004606679,-0.2253605271721408,-0.08879901606200064,-0.11854515996344829,-0.15092211467455877,-0.04870387299809984,-0.2069970364508795,-0.09439185169497506,-0.060120290895733404,-0.08333930618485673,-0.07094188782787816,-0.13854630415104,-0.3060157970940534,-0.2950471347863881,-0.12110370248518915,-0.09744827045038562,-0.15612750801921219,-0.16831480891694683
V3_BusOnlyCarriers_HelsinkiMedium,0.4810339161674365,0.4209599667587407,0.5482344651109022,0.697013093602055,0.09222285239803661,0.45344813479841894,0.37017784919434593,-0.1968225411676889,-0.46408342748826886,-0.28778513501782477,-0.2531717862446769,-0.33103272315687526,-0.02817435204125579,0.38934063363404525,0.3948589290531979,1.0,0.4803551236538124,0.4795531269743219,-0.18022279962829313,0.0034937783366436586,0.3294120119936154,0.12889618818398896,0.1709294687319163,-0.09854798345605639,0.26455597124750185,-0.239722086937946,-0.01058079924504483,-0.21858010722761953,-0.08553858635380447,-0.08319320043649171,-0.260910384531393,-0.3174202809326115,-0.36916711887551007,-0.19110521003482767,0.07867507449323233,-0.4868433520558863,-0.31953198779263947,-0.223917837370888,-0.3636919832439243,-0.18637176023989419,-0.41968835123597564,-0.43519328569533866,-0.3942064503075014,-0.34702272195762673,0.07375130485306167,-0.2356803093085202,-0.23604476394225307,-0.02953505455242021,-0.22186567420764056,-0.1421284899502189,-0.1007695074812647,-0.13626326939497366,-0.07163963763368723,-0.14575109877653064,-0.46722379034073164,-0.3885222457892036,-0.1191492211088187,-0.09671505417805816,-0.17858603472666476,-0.258773555051373
V6_CarOwnership_0_HelsinkiMedium,0.9552084051596355,0.9025692014105624,0.943897333631933,0.7021107258784923,0.8216156147817525,0.9380240006981253,0.8740331417669208,-0.19218465455548508,-0.3517928453809273,-0.3038859573547323,-0.1628531498663303,-0.3992258332166694,0.03135566260324479,0.0634566580561255,0.15572346382105456,0.4803551236538124,1.0,0.7485711931995138,-0.6034757037771774,-0.49770180958262356,0.14936725782911744,-0.27137823192559724,-0.066261955691282,-0.44977423292778274,-0.1379280843270199,-0.4253561623126493,-0.24381702110082953,-0.3069552639812302,-0.5151924186550294,-0.20294143391932568,-0.16096282190626496,-0.21914091588175016,-0.29326140278929935,-0.1977210241654336,-0.0072841090327166996,-0.29170139869109873,-0.17113211240432863,-0.10825425420125458,-0.32706345047941754,0.06084338563150234,-0.11555019014025587,-0.29369798083908916,-0.37048603597705043,-0.1795488693222565,-0.033571514698341645,-0.2090159458312649,-0.2899726559385576,-0.2327896724164456,-0.3153981952671798,-0.20167328088422376,-0.2604045941933104,-0.3373421227267735,-0.18388987360437975,-0.29233717569832324,-0.35070920991431687,-0.4677003265762972,-0.4215740770727726,-0.20551290738708428,-0.2324788063022331,-0.33325358854869025
V7_CarOwnership_100_HelsinkiMedium,0.7526462086312451,0.7304322421599323,0.7646636216844028,0.6456767915343005,0.6191012366590288,0.7037404258419645,0.5540856792890085,-0.21556579709216236,-0.377348145791112,-0.3334658180991429,-0.23112933841697406,-0.3610720904153868,-0.010644276769471014,0.10716470865750673,0.12923717055249953,0.4795531269743219,0.7485711931995138,1.0,-0.3896018183746211,-0.2784162365552952,0.12127774587833838,-0.07644612155689803,-0.04926423606625155,-0.3534646670013391,-0.06441930821422757,-0.3061852736357486,-0.14089744798746134,-0.19235729722183795,-0.27870678117285513,-0.18326687938983813,-0.17179566800548343,-0.2321603788184324,-0.2607870070104636,-0.25502177322328073,0.028114630991745045,-0.23878174718147366,-0.05040262864464199,-0.13412207577123922,-0.27082061534969065,0.04269137557600285,-0.07240089139745844,-0.30319245727832533,-0.21683925785292385,-0.09736128056964588,-0.06241045525061138,-0.08814747568598683,-0.25144157261838807,-0.1565227626527495,-0.25031534484814005,-0.17857875425614322,-0.12590637015916217,-0.21766620766996272,-0.18805708941238863,-0.24993719993684824,-0.29240271290122083,-0.380113727937286,-0.2729429884827747,-0.19822568795780976,-0.26233904489114696,-0.16686448158090875
R10_TinyRange_5m,-0.6417416133076209,-0.7093617575503302,-0.46742361985850606,-0.2733577215605761,-0.7346410956358947,-0.5491647164279576,-0.649839409327853,0.209081182367167,0.22150839856037582,0.3663172057428428,-0.027025780997694846,0.4123186904928805,-0.08368576457136259,-0.20839693968926162,-0.21766763625867885,-0.18022279962829313,-0.6034757037771774,-0.3896018183746211,1.0,0.7601208594594475,-0.02324858109309906,0.45437039253047407,-0.1731266437660543,0.6449019765173187,0.057422568253469405,0.28169980380626203,0.08123663206839993,0.05763796115098249,0.6640227392450719,0.0879374110333217,-0.0384258720059358,0.30154494917408103,-0.04619471917267373,-0.1264354327246302,-0.15015480595087108,0.028435397970074786,0.29259386832284073,0.052028501391371995,0.16196429914344926,-0.2322422215704479,0.22782627716638132,0.028671666914865786,0.6197934962982112,0.26190164227290763,-0.13197018563199236,0.17217372876448608,-0.02856219747485144,0.3369336348791014,0.13776074400574556,0.10192802556286022,0.14710266212009562,0.645301919429709,0.14258547119793055,0.1920687754949944,0.03963865498556143,0.05896355750214309,0.7095105151124744,0.1574900273626658,-0.06391532979530423,0.5004064562859473
R11_SpeedExtremeLow,-0.43816655527118126,-0.4824422722138348,-0.29200058034405596,0.12853459579096255,-0.565728442466562,-0.46619300150897397,-0.43858399364651157,0.03599472003865847,0.08423167481977922,0.2981856160631588,-0.19767771853151275,0.27542926773475923,-0.19466739948528303,-0.053983968315681516,-0.19607678098869996,0.0034937783366436586,-0.49770180958262356,-0.2784162365552952,0.7601208594594475,1.0,-0.19101677138353257,0.8598025157223906,-0.04469775573888068,0.780171582426912,0.16315068231277088,0.2891473681439982,0.3318874419847754,0.37082316300657975,0.5253034291191869,0.07677661072888049,-0.15294566664437184,-0.03602864014922279,0.12759247536697935,-0.17113258293667383,-0.018542822027351365,-0.057524430546739086,0.143161176174538,-0.18496664223319412,0.19524143969836974,-0.2330148553387228,-0.1458089335186306,-0.0970471759197433,0.4099774626850588,0.08169930015999943,-0.11083868668986258,0.03626972694142606,-0.07065626654461854,0.18748188248444994,0.21112440827219817,-0.02415814909405932,0.05911221940015583,0.3079065595058461,0.06966928887925025,0.09338280086700768,-0.022501530120965944,0.05157814519296739,0.43353492730224996,0.06592809387583594,-0.09365917886143518,0.30969163805900557
