scenario_name,candidate_id,max_abs_r_vs_selected
SV1_C49243,C49243,0.8798088132353497
SV1_C94274,C94274,0.9993469926210108
SV1_C79279,C79279,0.9760912493562043
SV1_C10876,C10876,0.9600967303230995
SV1_C03672,C03672,0.9963482345244563
SV1_C54102,C54102,0.9593695650469081
SV1_C11449,C11449,0.9225086759731397
SV1_C72692,C72692,0.8969133419367208
SV1_C06118,C06118,0.9111316769815043
SV1_C72089,C72089,0.9026977970509572
SV1_C88265,C88265,0.882112776927275
SV1_C25298,C25298,0.9127614028696754
SV1_C06628,C06628,0.9236477647315171
SV1_C93066,C93066,0.9633171609835051
SV1_C52872,C52872,0.9856879477688638
SV1_C93062,C93062,0.9404227305438513
SV1_C43846,C43846,0.8514249945799716
SV1_C61308,C61308,0.9546634223140169
SV1_C25893,C25893,0.9928077792380791
SV1_C19209,C19209,0.9267842492671827
SV1_C69002,C69002,0.9604937686831044
SV1_C09611,C09611,0.8863550076342427
SV1_C30116,C30116,0.948304080316449
SV1_C70281,C70281,0.9358318970244867
SV1_C85886,C85886,0.9436109551627714
SV1_C06615,C06615,0.9856212729689502
SV1_C46829,C46829,0.9926619266063809
SV1_C73319,C73319,0.9983380725264773
SV1_C49809,C49809,0.9602088358517019
SV1_C77476,C77476,0.9076001334210761
SV1_C75645,C75645,0.91655985845229
SV1_C75031,C75031,0.917575459102414
SV1_C27630,C27630,0.9553995897663755
SV1_C10237,C10237,0.9714502281153148
SV1_C72008,C72008,0.9381177201823243
SV1_C61806,C61806,0.9546244900142449
SV1_C12074,C12074,0.9315383953515405
SV1_C13808,C13808,0.8672253283412197
SV1_C60079,C60079,0.9990991031892527
SV1_C74458,C74458,0.9520301558137108
SV1_C29473,C29473,0.9370989964492813
SV1_C83401,C83401,0.9487070854713185
SV1_C39023,C39023,0.9038781231212458
SV1_C64277,C64277,0.931792700591119
SV1_C82801,C82801,0.94814740969946
SV1_C79800,C79800,0.9340678228699281
SV1_C01307,C01307,0.9151759427278038
SV1_C02436,C02436,0.9901999526081541
SV1_C77403,C77403,0.9632403873919985
