# Escenarios a diversificar (core 23) — aparecen en pares con |r| >= 0.7 en espacio de 23 features
# Referencia para investigación. Total: 719 escenarios.

T8_BurstTraffic_TimeWindows__TP06_OneToMany  (# pares |r|>=0.7 en core23: 68)
T8_BurstTraffic_TimeWindows__TP08_HubTarget  (# pares |r|>=0.7 en core23: 68)
U1_CBD_Commuting_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 67)
U7_HighTimeVariance_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 67)
U1_CBD_Commuting_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 67)
U1_CBD_Commuting_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 67)
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 67)
U4_CongestionHotspot_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 67)
U4_CongestionHotspot_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 67)
U4_CongestionHotspot_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 67)
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 67)
U1_CBD_Commuting_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 67)
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 67)
U1_CBD_Commuting_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 67)
U6_OfficeWaitHeavyTail_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 67)
U1_CBD_Commuting_HelsinkiMedium__TP10_Storm  (# pares |r|>=0.7 en core23: 67)
U4_CongestionHotspot_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 67)
U7_HighTimeVariance_HelsinkiMedium__TP10_Storm  (# pares |r|>=0.7 en core23: 67)
V4_CarOwnership_0_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 66)
V4_CarOwnership_0_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 66)
V4_CarOwnership_0_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 66)
V4_CarOwnership_0_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 66)
U4_CongestionHotspot_HelsinkiMedium__TP10_Storm  (# pares |r|>=0.7 en core23: 66)
U7_HighTimeVariance_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 64)
U4_CongestionHotspot_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 64)
U7_HighTimeVariance_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 64)
U7_HighTimeVariance_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 64)
S5_TwoLayer_StudentsStaff__TP08_HubTarget  (# pares |r|>=0.7 en core23: 63)
S5_TwoLayer_StudentsStaff__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 63)
S2_WeakCommunities_HighMixing__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 63)
S5_TwoLayer_StudentsStaff__TP06_OneToMany  (# pares |r|>=0.7 en core23: 63)
T8_BurstTraffic_TimeWindows__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 63)
S5_TwoLayer_StudentsStaff__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 63)
U7_HighTimeVariance_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 63)
R5_MountainRescue__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 62)
S2_WeakCommunities_HighMixing__TP06_OneToMany  (# pares |r|>=0.7 en core23: 62)
S2_WeakCommunities_HighMixing__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 62)
S2_WeakCommunities_HighMixing__TP08_HubTarget  (# pares |r|>=0.7 en core23: 62)
R5_MountainRescue__TP06_OneToMany  (# pares |r|>=0.7 en core23: 62)
R5_MountainRescue__TP08_HubTarget  (# pares |r|>=0.7 en core23: 60)
T13_Buffer_256k__TP08_HubTarget  (# pares |r|>=0.7 en core23: 59)
T13_Buffer_256k__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 59)
T13_Buffer_256k__TP06_OneToMany  (# pares |r|>=0.7 en core23: 59)
R5_MountainRescue__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 59)
U3_MicroMobility_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 56)
U3_MicroMobility_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 56)
U3_MicroMobility_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 56)
U3_MicroMobility_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 56)
C4_Stadium_IngressEgress__TP06_OneToMany  (# pares |r|>=0.7 en core23: 55)
C4_Stadium_IngressEgress__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 55)
C4_Stadium_IngressEgress__TP08_HubTarget  (# pares |r|>=0.7 en core23: 55)
U2_SparseSuburb_HelsinkiMedium__TP01_Baseline  (# pares |r|>=0.7 en core23: 55)
U3_MicroMobility_HelsinkiMedium__TP03_ManySmall  (# pares |r|>=0.7 en core23: 54)
U2_SparseSuburb_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 54)
U3_MicroMobility_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 54)
U3_MicroMobility_HelsinkiMedium__TP01_Baseline  (# pares |r|>=0.7 en core23: 54)
U2_SparseSuburb_HelsinkiMedium__TP03_ManySmall  (# pares |r|>=0.7 en core23: 54)
U2_SparseSuburb_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 53)
U3_MicroMobility_HelsinkiMedium__TP10_Storm  (# pares |r|>=0.7 en core23: 53)
U2_SparseSuburb_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 53)
U2_SparseSuburb_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 53)
U5_WorkdayShort_HelsinkiMedium__TP03_ManySmall  (# pares |r|>=0.7 en core23: 53)
C4_Stadium_IngressEgress__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 52)
U5_WorkdayShort_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 51)
U5_WorkdayShort_HelsinkiMedium__TP10_Storm  (# pares |r|>=0.7 en core23: 51)
T13_Buffer_256k__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 50)
U2_SparseSuburb_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 49)
U2_SparseSuburb_HelsinkiMedium__TP10_Storm  (# pares |r|>=0.7 en core23: 49)
U5_WorkdayShort_HelsinkiMedium__TP01_Baseline  (# pares |r|>=0.7 en core23: 49)
U5_WorkdayShort_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 46)
U5_WorkdayShort_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 45)
U5_WorkdayShort_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 45)
U5_WorkdayShort_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 45)
S3_PeriodicMeetings_RegularRhythm__TP10_Storm  (# pares |r|>=0.7 en core23: 39)
S3_PeriodicMeetings_RegularRhythm__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 39)
D6_ShortTtlCritical_5to10min__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 37)
D6_ShortTtlCritical_5to10min__TP10_Storm  (# pares |r|>=0.7 en core23: 36)
T6_UniformSources_RandomFromTo__TP10_Storm  (# pares |r|>=0.7 en core23: 35)
C5_Library_Quiet__TP01_Baseline  (# pares |r|>=0.7 en core23: 35)
R4_ParkRangers_HelsinkiMedium__TP01_Baseline  (# pares |r|>=0.7 en core23: 35)
R4_ParkRangers_HelsinkiMedium__TP03_ManySmall  (# pares |r|>=0.7 en core23: 35)
T6_UniformSources_RandomFromTo__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 35)
R4_ParkRangers_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 35)
R7_SparseTinyBuffer__TP08_HubTarget  (# pares |r|>=0.7 en core23: 34)
T7_TargetedToHubs_FewDestinations__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 34)
T2_FewHugeMsgs_LowRate__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 34)
T3_MixedBimodal_SmallAndLarge__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 34)
T7_TargetedToHubs_FewDestinations__TP10_Storm  (# pares |r|>=0.7 en core23: 34)
T2_FewHugeMsgs_LowRate__TP10_Storm  (# pares |r|>=0.7 en core23: 34)
V1_TaxiLow_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 34)
R7_SparseTinyBuffer__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 34)
T3_MixedBimodal_SmallAndLarge__TP10_Storm  (# pares |r|>=0.7 en core23: 34)
R7_SparseTinyBuffer__TP06_OneToMany  (# pares |r|>=0.7 en core23: 34)
V1_TaxiLow_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 33)
V1_TaxiLow_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 33)
V2_TaxiHigh_HelsinkiMedium__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 33)
T8_BurstTraffic_TimeWindows__TP02_LowLoad  (# pares |r|>=0.7 en core23: 33)
V2_TaxiHigh_HelsinkiMedium__TP06_OneToMany  (# pares |r|>=0.7 en core23: 33)
R4_ParkRangers_HelsinkiMedium__TP10_Storm  (# pares |r|>=0.7 en core23: 33)
S4_RandomMixing_NoHotspots__TP10_Storm  (# pares |r|>=0.7 en core23: 33)
C3_Hackathon_24h__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 33)
V2_TaxiHigh_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 33)
V1_TaxiLow_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 33)
C3_Hackathon_24h__TP06_OneToMany  (# pares |r|>=0.7 en core23: 33)
V1_TaxiLow_HelsinkiMedium__TP01_Baseline  (# pares |r|>=0.7 en core23: 33)
T8_BurstTraffic_TimeWindows__TP04_FewLarge  (# pares |r|>=0.7 en core23: 33)
V1_TaxiLow_HelsinkiMedium__TP03_ManySmall  (# pares |r|>=0.7 en core23: 33)
C3_Hackathon_24h__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 33)
V2_TaxiHigh_HelsinkiMedium__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 33)
R4_ParkRangers_HelsinkiMedium__TP05_CriticalTTL  (# pares |r|>=0.7 en core23: 33)
C5_Library_Quiet__TP03_ManySmall  (# pares |r|>=0.7 en core23: 33)
C3_Hackathon_24h__TP08_HubTarget  (# pares |r|>=0.7 en core23: 33)
V1_TaxiLow_HelsinkiMedium__TP08_HubTarget  (# pares |r|>=0.7 en core23: 33)
S3_PeriodicMeetings_RegularRhythm__TP02_LowLoad  (# pares |r|>=0.7 en core23: 32)
T1_ManySmallMsgs_HighRate__TP02_LowLoad  (# pares |r|>=0.7 en core23: 32)
T6_UniformSources_RandomFromTo__TP04_FewLarge  (# pares |r|>=0.7 en core23: 32)
T6_UniformSources_RandomFromTo__TP02_LowLoad  (# pares |r|>=0.7 en core23: 32)
