scenario_name,candidate_id,max_abs_r_vs_selected
SV1_C54520,C54520,0.9071632701038259
SV1_C25484,C25484,0.8055000675208387
SV1_C03612,C03612,0.98723799692712
SV1_C89839,C89839,0.7127115522500768
SV1_C46934,C46934,0.8802584316473806
SV1_C52654,C52654,0.8255590098923614
SV1_C26078,C26078,0.774405929884606
SV1_C52646,C52646,0.9690894339333853
SV1_C49608,C49608,0.7432274328663873
SV1_C98510,C98510,0.8783449141576538
SV1_C92241,C92241,0.8552411335551148
SV1_C89121,C89121,0.9348558399426398
SV1_C96804,C96804,0.8161419795399365
SV1_C84966,C84966,0.9359661217529234
SV1_C98391,C98391,0.941247385212036
SV1_C01724,C01724,0.7539260719154712
SV1_C52923,C52923,0.7064455364414044
SV1_C18381,C18381,0.9688672397841311
SV1_C69482,C69482,0.9011525545751355
SV1_C82298,C82298,0.7361066067075395
SV1_C97688,C97688,0.9530719535115749
SV1_C58078,C58078,0.8530343690017976
SV1_C55704,C55704,0.824600314170509
SV1_C86940,C86940,0.8737954349301459
SV1_C91708,C91708,0.7100183358929625
SV1_C61936,C61936,0.8561483468871328
SV1_C11542,C11542,0.8308897486618664
SV1_C08633,C08633,0.8144939415326857
SV1_C04906,C04906,0.8110782116861015
SV1_C04558,C04558,0.8884385797565529
SV1_C14358,C14358,0.8133662656204385
SV1_C71565,C71565,0.9742203718680902
SV1_C05444,C05444,0.8654880281985609
SV1_C93627,C93627,0.9327595995533681
SV1_C17428,C17428,0.8299576713955664
SV1_C06686,C06686,0.9763091174137369
SV1_C86183,C86183,0.8143419552742488
SV1_C46432,C46432,0.8144791695139174
SV1_C66553,C66553,0.767831984835125
SV1_C96505,C96505,0.9204060194341136
SV1_C84738,C84738,0.8749648267107193
SV1_C54082,C54082,0.7924728904468875
SV1_C94362,C94362,0.9186253597803379
SV1_C10521,C10521,0.7024745815613862
SV1_C57208,C57208,0.713356635021344
SV1_C21385,C21385,0.7298704802920495
SV1_C54106,C54106,0.9205051817172248
SV1_C77643,C77643,0.8968490176054079
SV1_C98543,C98543,0.8194479683947915
SV1_C17074,C17074,0.8030230687591244
SV1_C15258,C15258,0.9319840587568627
SV1_C47394,C47394,0.8968418540399344
SV1_C07261,C07261,0.9238429219129143
SV1_C42606,C42606,0.9742040128047393
SV1_C36017,C36017,0.8700181243706294
SV1_C61767,C61767,0.7227676690623281
SV1_C58907,C58907,0.7496942477426882
SV1_C84612,C84612,0.8672670605446091
SV1_C33705,C33705,0.7849197396805669
SV1_C61874,C61874,0.8745963278270699
SV1_C74163,C74163,0.9047874098835267
SV1_C26260,C26260,0.9065992558866708
SV1_C26141,C26141,0.9642795346305402
SV1_C04833,C04833,0.9989345230025626
SV1_C88630,C88630,0.8016514131726926
SV1_C77047,C77047,0.9319684289004421
SV1_C47720,C47720,0.9344356684112467
SV1_C70407,C70407,0.9876734117297638
SV1_C80422,C80422,0.9680444090448742
SV1_C01194,C01194,0.7580623037439103
SV1_C83050,C83050,0.9143303390031857
SV1_C12914,C12914,0.9786205519961128
SV1_C27194,C27194,0.7887587163450551
SV1_C91498,C91498,0.9205211069643695
SV1_C79419,C79419,0.7735254002199221
SV1_C89986,C89986,0.8749269740237274
SV1_C26309,C26309,0.7341162807286624
SV1_C08026,C08026,0.9160729766571487
SV1_C35960,C35960,0.8817895191339181
SV1_C16400,C16400,0.8811769725106202
SV1_C58471,C58471,0.95463037494339
SV1_C60958,C60958,0.8399377124000583
SV1_C97318,C97318,0.8795057612322278
SV1_C95319,C95319,0.7999221458247269
SV1_C67887,C67887,0.8404601183094315
SV1_C53352,C53352,0.8050192628334875
SV1_C74848,C74848,0.8775152665053337
SV1_C53020,C53020,0.9941626167378516
SV1_C93394,C93394,0.7554898170475591
SV1_C77162,C77162,0.8559043491657571
SV1_C88257,C88257,0.921543613204084
SV1_C73728,C73728,0.7910122182833355
SV1_C47716,C47716,0.9207664164687483
SV1_C07211,C07211,0.8694968315683499
SV1_C15993,C15993,0.8740821215176158
SV1_C11054,C11054,0.8364280288877235
SV1_C96961,C96961,0.9974528687422547
SV1_C36132,C36132,0.8607125323145102
SV1_C88302,C88302,0.8692215854341706
SV1_C07737,C07737,0.7993195954396405
SV1_C44535,C44535,0.7613710488346186
SV1_C47358,C47358,0.8210079377267537
SV1_C17193,C17193,0.8629368706817879
SV1_C44377,C44377,0.8265709531412935
SV1_C50201,C50201,0.7432525807707202
SV1_C05857,C05857,0.8110871493820039
SV1_C91615,C91615,0.8954603909549552
SV1_C51862,C51862,0.9093014017575538
SV1_C54565,C54565,0.7614166058965334
SV1_C49387,C49387,0.7501459585236058
SV1_C37440,C37440,0.8516691240539254
SV1_C63990,C63990,0.926626540005557
SV1_C10010,C10010,0.7801924681321141
SV1_C48651,C48651,0.890156280995097
SV1_C97916,C97916,0.8411364125193672
SV1_C30316,C30316,0.8137267118827554
SV1_C11271,C11271,0.8349645464122782
SV1_C27464,C27464,0.8099629348946775
SV1_C11001,C11001,0.7259774080439261
SV1_C28914,C28914,0.7942714551279052
SV1_C49066,C49066,0.9521991693278882
SV1_C69601,C69601,0.8958641856840327
SV1_C81466,C81466,0.8661710038949225
SV1_C95551,C95551,0.9301957884086062
SV1_C71667,C71667,0.966905508219253
SV1_C40338,C40338,0.8784894887894088
SV1_C72410,C72410,0.9023113260506499
SV1_C06633,C06633,0.8487333978530598
SV1_C22481,C22481,0.8308567920431336
SV1_C78259,C78259,0.8352071655650121
SV1_C98529,C98529,0.9458817204858558
SV1_C61549,C61549,0.888069616401322
SV1_C89155,C89155,0.9051401340305909
SV1_C89356,C89356,0.8166912094419626
SV1_C55485,C55485,0.8951783941065786
SV1_C37448,C37448,0.8596652844017005
SV1_C59005,C59005,0.9801863120352057
SV1_C26008,C26008,0.8025283791492898
SV1_C64395,C64395,0.961532768832824
SV1_C62652,C62652,0.8427043964037115
SV1_C80604,C80604,0.9014275162152302
SV1_C11930,C11930,0.809306253162409
SV1_C20843,C20843,0.8388742245918646
SV1_C57479,C57479,0.7297651760633667
SV1_C54031,C54031,0.7588635389730738
SV1_C75612,C75612,0.7934042246716905
