scenario_name,candidate_id,max_abs_r_vs_selected
SV1_C52282,C52282,0.8964911761751098
SV1_C18685,C18685,0.8175907002217049
SV1_C80504,C80504,0.7370038520023782
SV1_C01878,C01878,0.8117990259978495
SV1_C41405,C41405,0.7769171793238823
SV1_C08419,C08419,0.8564370652045098
SV1_C30093,C30093,0.7812436693894987
SV1_C83413,C83413,0.9388351565980871
SV1_C14437,C14437,0.9309033880404036
SV1_C22916,C22916,0.8718277096397086
SV1_C15085,C15085,0.7183684303539728
SV1_C58301,C58301,0.9202882787076571
SV1_C76305,C76305,0.9151939604060484
SV1_C19831,C19831,0.9987076317607838
SV1_C11485,C11485,0.9243378714565259
SV1_C60627,C60627,0.8398453748392902
SV1_C96085,C96085,0.9143172485579741
SV1_C14418,C14418,0.938821145064589
SV1_C15614,C15614,0.9505365192028438
SV1_C75712,C75712,0.8534255967482033
SV1_C84079,C84079,0.8694413456269059
SV1_C94317,C94317,0.7579235369004472
SV1_C49858,C49858,0.9933966399223091
SV1_C14405,C14405,0.9166246333657427
SV1_C85888,C85888,0.8920890562551158
SV1_C90009,C90009,0.9297966298262851
SV1_C60617,C60617,0.9527023026416352
SV1_C72679,C72679,0.8180110191821626
SV1_C49235,C49235,0.779698329755855
SV1_C28898,C28898,0.8402592538923245
SV1_C29423,C29423,0.8141497780954955
SV1_C72029,C72029,0.7699989254981047
SV1_C75662,C75662,0.8223445962835708
SV1_C96116,C96116,0.7806384761619175
SV1_C05490,C05490,0.837615124069205
SV1_C21701,C21701,0.7378293917877019
SV1_C61877,C61877,0.9231237874814067
SV1_C13309,C13309,0.7945446730963234
SV1_C33079,C33079,0.9646055557851839
SV1_C89400,C89400,0.8846399947051778
SV1_C27013,C27013,0.9264363145747874
SV1_C84699,C84699,0.7396783529809061
SV1_C82822,C82822,0.9199486204344239
SV1_C24704,C24704,0.7492142484729031
SV1_C73875,C73875,0.8248168625406086
SV1_C28285,C28285,0.8116042352869196
SV1_C79299,C79299,0.7435422223357702
SV1_C75057,C75057,0.7662870064250275
SV1_C75096,C75096,0.9204590419665095
SV1_C45602,C45602,0.9437492311263441
SV1_C100236,C100236,0.9752820077731683
SV1_C86405,C86405,0.8764115718724971
SV1_C74491,C74491,0.9380964740526071
SV1_C87095,C87095,0.7319077085306417
SV1_C46246,C46246,0.9143118300590278
SV1_C94300,C94300,0.8217603294565714
SV1_C91270,C91270,0.8311385248417236
SV1_C27605,C27605,0.8236296904005995
SV1_C61301,C61301,0.9602957444152344
SV1_C49912,C49912,0.7453158586201838
SV1_C22318,C22318,0.8227644846454478
SV1_C60645,C60645,0.8869822858322917
SV1_C69614,C69614,0.9254092659433796
SV1_C46894,C46894,0.8008753131135493
SV1_C54609,C54609,0.8560866521910363
SV1_C81683,C81683,0.9815381102643908
SV1_C67276,C67276,0.8267186257261706
SV1_C91912,C91912,0.8779570835735587
SV1_C73313,C73313,0.8583731874847844
SV1_C58215,C58215,0.9521316540548654
SV1_C72112,C72112,0.8473637460149035
SV1_C43267,C43267,0.8058665718990974
SV1_C94829,C94829,0.7452297828262704
SV1_C55272,C55272,0.8723658229821858
SV1_C11422,C11422,0.9621447791494456
SV1_C99680,C99680,0.8785032163129458
SV1_C30602,C30602,0.9224017733304296
SV1_C91810,C91810,0.9442621863636851
SV1_C72037,C72037,0.7789338781618812
SV1_C13266,C13266,0.8063474382063897
SV1_C69618,C69618,0.8545870459511751
SV1_C86487,C86487,0.7985077031738886
SV1_C10240,C10240,0.7297104464169274
SV1_C69611,C69611,0.7586996886589711
SV1_C57620,C57620,0.8453551196512076
SV1_C12639,C12639,0.9562889139929349
SV1_C60017,C60017,0.9565600152643554
SV1_C46251,C46251,0.7935161175349226
SV1_C01816,C01816,0.9332098888895255
SV1_C07218,C07218,0.9321206258745972
SV1_C73236,C73236,0.775313037679488
SV1_C03684,C03684,0.715928072604035
SV1_C16800,C16800,0.8802073556726868
SV1_C85286,C85286,0.9269248222549613
SV1_C54105,C54105,0.8031006687622084
SV1_C84022,C84022,0.8931016397037895
SV1_C08460,C08460,0.7778265846889268
SV1_C38404,C38404,0.8364693846941719
SV1_C30712,C30712,0.931492397556401
SV1_C67838,C67838,0.9053914900674449
SV1_C99704,C99704,0.9048550575736607
SV1_C25889,C25889,0.9037255942956625
SV1_C07248,C07248,0.7890685676788409
SV1_C06015,C06015,0.9779237766981843
SV1_C58872,C58872,0.7833271576109039
SV1_C22242,C22242,0.7972958420229534
SV1_C87671,C87671,0.7503700361378527
SV1_C07837,C07837,0.7699446320106579
SV1_C10875,C10875,0.8877136583499735
SV1_C69035,C69035,0.9037459526071918
SV1_C07255,C07255,0.8807294455181175
SV1_C79289,C79289,0.7556982516151366
SV1_C49218,C49218,0.7847189827174204
SV1_C73263,C73263,0.9112177990555373
SV1_C43303,C43303,0.8353653832892156
SV1_C07898,C07898,0.8120228918896448
SV1_C92470,C92470,0.9045301841522578
SV1_C03700,C03700,0.8060187293509374
SV1_C43315,C43315,0.8328184404723942
SV1_C10873,C10873,0.9728272963415658
SV1_C48049,C48049,0.9431841221380229
SV1_C20476,C20476,0.9469271846389887
SV1_C58894,C58894,0.8379518667229335
SV1_C76307,C76307,0.71055423585361
SV1_C88206,C88206,0.9134331239772053
SV1_C57606,C57606,0.9903035332057545
SV1_C01318,C01318,0.8792202206100125
SV1_C32488,C32488,0.8549087795276732
SV1_C81620,C81620,0.8281584077564832
SV1_C19222,C19222,0.8901036547001718
SV1_C95476,C95476,0.8622797141815254
SV1_C88281,C88281,0.8550866167541701
SV1_C94883,C94883,0.9057867521807782
SV1_C55807,C55807,0.8633902186142257
SV1_C57116,C57116,0.8720451068255286
SV1_C06609,C06609,0.8304184410538302
SV1_C81691,C81691,0.9590306871552534
SV1_C85885,C85885,0.977705779697119
SV1_C05504,C05504,0.7680589697675674
SV1_C23507,C23507,0.7498467779388139
SV1_C26482,C26482,0.9853984532667053
SV1_C75650,C75650,0.8388799616574103
SV1_C56403,C56403,0.89144493487162
SV1_C88274,C88274,0.8809317428454432
SV1_C64847,C64847,0.861320199749925
SV1_C46228,C46228,0.7985817067906857
SV1_C53432,C53432,0.9492956088926386
SV1_C22307,C22307,0.7631243985067255
SV1_C54674,C54674,0.8328248915740807
SV1_C21073,C21073,0.9646263009529299
SV1_C65431,C65431,0.8607118325916222
SV1_C25293,C25293,0.989843729249493
SV1_C96033,C96033,0.7803783249194864
SV1_C57008,C57008,0.9960735951913026
SV1_C32401,C32401,0.8848732366480335
SV1_C52815,C52815,0.8805190704618611
SV1_C63096,C63096,0.8791457496561509
SV1_C10202,C10202,0.8149414682041083
SV1_C86454,C86454,0.9310551877101472
SV1_C66712,C66712,0.9008675647862799
SV1_C88292,C88292,0.7006939590598339
SV1_C33713,C33713,0.866530867305595
SV1_C10232,C10232,0.8248102961768868
SV1_C80401,C80401,0.932768899974464
SV1_C32479,C32479,0.9755491984565435
SV1_C30681,C30681,0.9604715261683311
SV1_C55208,C55208,0.9296445611213671
SV1_C17480,C17480,0.774177027350526
SV1_C45614,C45614,0.9284487117911395
SV1_C78100,C78100,0.7546648937856792
SV1_C73259,C73259,0.9255291854167869
SV1_C57103,C57103,0.7110127109679544
SV1_C34891,C34891,0.8988489794064756
SV1_C30610,C30610,0.9286428389899669
SV1_C01310,C01310,0.8336872535515236
SV1_C72609,C72609,0.8249918814689354
SV1_C89433,C89433,0.7790611343709377
SV1_C64885,C64885,0.8730476668113792
SV1_C16246,C16246,0.9966558936917851
SV1_C04891,C04891,0.7365826059813189
SV1_C27674,C27674,0.8972484077721565
SV1_C83492,C83492,0.7566041357436792
SV1_C99685,C99685,0.897095685948582
SV1_C54693,C54693,0.9659678256512949
SV1_C51031,C51031,0.9897059395948854
SV1_C09035,C09035,0.931113693127498
SV1_C98504,C98504,0.8495190062315199
SV1_C06633,C06633,0.9539697462766692
SV1_C16217,C16217,0.9103441539621636
SV1_C09040,C09040,0.7246959320126575
SV1_C09093,C09093,0.7411360965463913
SV1_C67221,C67221,0.8405357912780439
SV1_C94221,C94221,0.9085892015674365
SV1_C90653,C90653,0.838279639991965
SV1_C82283,C82283,0.9759163678387514
SV1_C81689,C81689,0.8404834584192648
SV1_C16215,C16215,0.9050634055461605
SV1_C24642,C24642,0.812013277107545
SV1_C08422,C08422,0.998253461708562
SV1_C00676,C00676,0.7123875276082522
SV1_C93047,C93047,0.934571465963096
SV1_C74453,C74453,0.7679664637092815
SV1_C55304,C55304,0.7687321764910844
SV1_C91871,C91871,0.7426583096081204
SV1_C77498,C77498,0.8003226794787609
SV1_C12655,C12655,0.821781623806545
SV1_C86413,C86413,0.9068643727552674
SV1_C29503,C29503,0.788878860128665
SV1_C32483,C32483,0.9844073745560509
SV1_C03115,C03115,0.8375549801605218
SV1_C02439,C02439,0.993810440770543
SV1_C66604,C66604,0.9806261568349992
SV1_C46250,C46250,0.9629038128456132
SV1_C84003,C84003,0.7832454124036016
SV1_C90112,C90112,0.9435790974684948
SV1_C91819,C91819,0.9374864844543567
SV1_C56423,C56423,0.7878791495354318
SV1_C13216,C13216,0.9450604102126872
SV1_C30083,C30083,0.9824310737844203
SV1_C77417,C77417,0.8915774794009667
SV1_C60103,C60103,0.898918124356282
SV1_C12016,C12016,0.8442548261450031
SV1_C78669,C78669,0.8228802035865593
SV1_C96086,C96086,0.8320314592692246
SV1_C17487,C17487,0.9379880565721486
SV1_C08421,C08421,0.9755426464821016
SV1_C22319,C22319,0.8620650190653226
SV1_C47472,C47472,0.9216143297674328
SV1_C31882,C31882,0.8697680801724543
SV1_C51109,C51109,0.7978698120846
SV1_C04204,C04204,0.9513782114286805
SV1_C67278,C67278,0.9551921401396753
SV1_C94821,C94821,0.9081245282470486
SV1_C91831,C91831,0.7662081878252579
SV1_C79907,C79907,0.7637223433535054
SV1_C19844,C19844,0.7896234131473394
SV1_C65512,C65512,0.8887717609515752
SV1_C78645,C78645,0.8221477272027953
SV1_C89405,C89405,0.9107972903070749
SV1_C79317,C79317,0.8234867812027099
SV1_C06607,C06607,0.954237963167724
SV1_C90692,C90692,0.7396212600648244
SV1_C98425,C98425,0.9332539903639196
SV1_C98402,C98402,0.96199933870433
SV1_C83497,C83497,0.7364529508078994
SV1_C01906,C01906,0.8678423931268026
SV1_C25200,C25200,0.9125209561668697
SV1_C04274,C04274,0.845104069886372
SV1_C00612,C00612,0.9842487649917944
SV1_C13291,C13291,0.8788238963972447
SV1_C82207,C82207,0.8255262682506466
SV1_C52824,C52824,0.9418410314108817
SV1_C52226,C52226,0.900670024227751
