# Escenarios a diversificar (aparecen en pares con |r| >= 0.7)
# Generado por run_analysis.py --phase correlation. Total: 540 escenarios.
# Criterio: trabajar en estos para que su vector de features difiera del resto y baje |r|.

R11_SpeedExtremeLow__TP05_CriticalTTL  (# pares con |r|>=0.7: 17)
U3_MicroMobility_HelsinkiDowntown__TP11_ManyToOne  (# pares con |r|>=0.7: 17)
R3_WildlifeTracking__TP03_ManySmall  (# pares con |r|>=0.7: 16)
R1_Rural_SparseSPMM__TP05_CriticalTTL  (# pares con |r|>=0.7: 16)
D3_Aftershock_ErraticMobility__TP04_FewLarge  (# pares con |r|>=0.7: 16)
D3_Aftershock_ErraticMobility__TP10_Storm  (# pares con |r|>=0.7: 16)
C1_Campus_ClassChange__TP01_Baseline  (# pares con |r|>=0.7: 16)
D3_Aftershock_ErraticMobility__TP09_Bimodal  (# pares con |r|>=0.7: 16)
D4_MedicalTriage_TwoClasses__TP07_BurstWindow  (# pares con |r|>=0.7: 16)
S3_PeriodicMeetings_RegularRhythm__TP01_Baseline  (# pares con |r|>=0.7: 16)
R5_MountainRescue__TP12_GroupToGroup  (# pares con |r|>=0.7: 16)
D3_Aftershock_ErraticMobility__TP07_BurstWindow  (# pares con |r|>=0.7: 16)
D3_Aftershock_ErraticMobility__TP05_CriticalTTL  (# pares con |r|>=0.7: 16)
C2_ExamDay_LongStays__TP03_ManySmall  (# pares con |r|>=0.7: 16)
C1_Campus_ClassChange__TP03_ManySmall  (# pares con |r|>=0.7: 15)
U1_CBD_Commuting_HelsinkiDowntown__TP05_CriticalTTL  (# pares con |r|>=0.7: 15)
S4_RandomMixing_NoHotspots__TP11_ManyToOne  (# pares con |r|>=0.7: 15)
U5_WorkdayShort_HelsinkiDowntown__TP01_Baseline  (# pares con |r|>=0.7: 15)
V1_TaxiLow_ManhattanMidtownGrid__TP08_HubTarget  (# pares con |r|>=0.7: 15)
R6_SparseLongRange__TP11_ManyToOne  (# pares con |r|>=0.7: 15)
R1_Rural_SparseSPMM__TP10_Storm  (# pares con |r|>=0.7: 15)
S5_TwoLayer_StudentsStaff__TP08_HubTarget  (# pares con |r|>=0.7: 15)
