# Escenarios a diversificar (core 23) — aparecen en pares con |r| >= 0.7 en espacio de 23 features
# Referencia para investigación. Total: 540 escenarios.

C3_Hackathon_24h__TP01_Baseline  (# pares |r|>=0.7 en core23: 27)
D4_MedicalTriage_TwoClasses__TP02_LowLoad  (# pares |r|>=0.7 en core23: 27)
C6_EmergencyDrill_Evacuation__TP06_OneToMany  (# pares |r|>=0.7 en core23: 27)
C3_Hackathon_24h__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 27)
C2_ExamDay_LongStays__TP01_Baseline  (# pares |r|>=0.7 en core23: 27)
C6_EmergencyDrill_Evacuation__TP08_HubTarget  (# pares |r|>=0.7 en core23: 27)
C3_Hackathon_24h__TP03_ManySmall  (# pares |r|>=0.7 en core23: 27)
C6_EmergencyDrill_Evacuation__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 27)
C6_EmergencyDrill_Evacuation__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 27)
D3_Aftershock_ErraticMobility__TP02_LowLoad  (# pares |r|>=0.7 en core23: 27)
S1_StrongCommunities_SeparateClusters__TP08_HubTarget  (# pares |r|>=0.7 en core23: 27)
C4_Stadium_IngressEgress__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 27)
C5_Library_Quiet__TP01_Baseline  (# pares |r|>=0.7 en core23: 27)
D4_MedicalTriage_TwoClasses__TP08_HubTarget  (# pares |r|>=0.7 en core23: 26)
C5_Library_Quiet__TP03_ManySmall  (# pares |r|>=0.7 en core23: 26)
R11_SpeedExtremeLow__TP06_OneToMany  (# pares |r|>=0.7 en core23: 26)
R11_SpeedExtremeLow__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 26)
D8_InfrastructureReturns_BackboneLinks__TP10_Storm  (# pares |r|>=0.7 en core23: 26)
D4_MedicalTriage_TwoClasses__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 26)
D4_MedicalTriage_TwoClasses__TP06_OneToMany  (# pares |r|>=0.7 en core23: 26)
S1_StrongCommunities_SeparateClusters__TP01_Baseline  (# pares |r|>=0.7 en core23: 26)
R1_Rural_RandomWaypoint__TP01_Baseline  (# pares |r|>=0.7 en core23: 26)
R11_SpeedExtremeLow__TP08_HubTarget  (# pares |r|>=0.7 en core23: 26)
C3_Hackathon_24h__TP11_ManyToOne  (# pares |r|>=0.7 en core23: 25)
R11_SpeedExtremeLow__TP12_GroupToGroup  (# pares |r|>=0.7 en core23: 25)
C3_Hackathon_24h__TP08_HubTarget  (# pares |r|>=0.7 en core23: 25)
C3_Hackathon_24h__TP06_OneToMany  (# pares |r|>=0.7 en core23: 25)
C2_ExamDay_LongStays__TP03_ManySmall  (# pares |r|>=0.7 en core23: 25)
